Time(s),CTSresistance,MeanArterialPressure(mmHg),HeartRate(1/min),SystolicArterialPressure(mmHg),DiastolicArterialPressure(mmHg),CardiacOutput(L/min),CentralVenousPressure(mmHg),TidalVolume(mL),TotalLungVolume(L),RespirationRate(1/min),OxygenSaturation,CoreTemperature(degC)
0.06,0.0745,93.4706,72.4589,113.1935,73.9237,5.7361,3.8659,414.6209,2.423,16.0545,0.9803,36.9
0.12,0.0727,95.1994,70.2981,113.34,75.1021,5.7792,3.9785,473.43,2.4052,16.6238,0.9787,36.9
0.16,0.0655,93.8504,74.4091,111.501,74.1105,5.5155,3.7759,416.3418,2.5102,16.5908,0.9764,36.9
0.22,0.0734,98.2108,72.4942,111.2232,73.4209,5.8713,4.0669,433.0771,2.6057,15.3796,0.9768,36.9
0.26,0.0711,97.1285,71.2895,113.5455,74.9532,5.58,3.8319,435.8031,2.5043,16.2348,0.9784,36.9
0.32,0.0702,95.9692,70.8286,111.8968,74.2227,5.7733,4.0164,428.3155,2.5479,16.5911,0.9779,36.9
0.36,0.0672,94.481,72.5803,113.1106,74.0124,5.7836,3.7676,473.6438,2.6793,16.419,0.9802,36.9
0.42,0.0734,96.1781,72.0354,110.554,72.8438,5.7776,4.1235,455.9616,2.6222,14.9325,0.9812,36.9
0.46,0.0679,96.3284,69.9084,113.5039,74.009,5.7563,3.8239,488.4248,2.6645,16.0717,0.9824,36.9
0.52,0.0679,96.6197,73.0749,115.1881,75.4929,5.5004,3.8099,490.8127,2.494,16.7231,0.976,36.9
0.56,0.0642,96.446,71.7101,114.663,74.9744,5.6234,3.8773,475.553,2.5677,16.5508,0.9778,36.9
0.62,0.0678,95.1174,68.7104,108.6756,73.9516,5.6413,4.0053,449.8715,2.4854,15.6174,0.9805,36.9
0.66,0.073,93.7436,72.2707,110.6783,74.5426,5.7189,4.1457,403.3784,2.4498,16.0471,0.9791,36.9
0.72,0.0631,95.5849,71.7927,114.9628,75.2272,5.7849,3.8686,498.3901,2.4136,16.3043,0.9823,36.9
0.76,0.0637,91.8562,72.4283,113.9634,74.1613,5.6632,3.8889,465.6349,2.4323,16.5132,0.9773,36.9
0.82,0.0649,96.3112,70.9835,111.6352,75.3753,5.8037,3.8499,562.1111,2.3385,16.2981,0.981,36.9
0.86,0.0699,94.2324,72.1178,113.0366,73.9702,5.9773,3.9259,500.1119,2.2593,16.5868,0.9797,36.9
0.92,0.0637,94.9886,72.9755,111.9874,73.942,5.9175,3.7064,409.4581,2.2147,16.2795,0.9805,36.9
0.96,0.0634,96.4977,73.8791,113.2588,74.5266,5.7429,3.6457,491.3391,2.2814,16.5013,0.9806,36.9
1.02,0.0645,95.7867,72.4549,109.2381,75.655,5.9096,3.7502,493.5105,2.1904,15.8555,0.9761,36.9
1.06,0.0691,96.3946,71.7127,112.1094,74.0426,5.7532,3.8258,462.6863,2.2027,16.3071,0.9784,36.9
1.12,0.0657,95.2796,72.8287,117.615,74.8858,5.7957,3.7874,490.9919,2.1683,16.1433,0.979,36.9
1.16,0.0618,95.7605,71.2298,114.1193,75.1807,5.6319,3.7749,512.4879,2.2471,16.1286,0.9776,36.9
1.22,0.0686,96.5,72.0032,113.6836,74.2098,5.6618,3.7846,443.1173,2.1582,15.7865,0.9789,36.9
1.26,0.0683,93.7217,73.2502,115.5254,74.4261,5.6046,4.1019,439.7925,2.0242,17.0163,0.9782,36.9
1.32,0.0695,94.6453,71.3877,114.5402,72.2787,5.8199,3.9865,447.6351,2.1851,16.0403,0.9798,36.9
1.36,0.0696,96.8224,75.5593,113.8488,73.7412,5.4788,3.9874,518.0105,2.2015,16.9245,0.9807,36.9
1.42,0.0657,97.8412,74.09,112.3353,74.6248,5.9252,3.813,444.1307,2.1772,14.4341,0.9745,36.9
1.46,0.0575,93.4319,71.3455,115.1849,74.8059,5.7572,4.1474,499.0375,2.2175,16.3286,0.9803,36.9
1.52,0.0668,94.8771,73.2452,113.6138,74.1112,5.9916,3.8311,528.1882,2.1498,15.3464,0.9802,36.9
1.56,0.0679,97.9916,70.5937,116.6352,73.748,5.9017,4.0698,437.4855,2.1129,17.1486,0.983,36.9
1.62,0.0689,94.9138,74.3617,115.0363,74.3079,5.8419,3.9237,419.7115,2.1325,16.645,0.9791,36.9
1.66,0.0672,95.3024,72.4246,116.2113,74.9127,5.8804,4.082,463.8775,2.0606,16.4171,0.9758,36.9
1.72,0.0629,94.6443,71.6858,113.3673,74.8204,5.7265,3.9937,434.5977,2.2203,16.2415,0.9818,36.9
1.76,0.0633,96.2693,72.5615,110.3478,74.5509,5.8612,3.9073,487.1229,2.2412,16.8464,0.9807,36.9
1.82,0.0674,96.1307,72.0135,116.7145,75.3095,5.6706,4.0963,542.7381,2.1305,16.2204,0.9784,36.9
1.86,0.0649,95.1322,70.1127,114.9462,73.9998,5.6845,4.0902,489.5815,2.0786,16.6829,0.9824,36.9
1.92,0.0686,95.4837,70.9754,114.772,74.92,5.7974,3.787,414.9032,2.1931,16.5809,0.9824,36.9
1.96,0.0671,92.4162,72.1658,112.3424,76.2507,5.8558,3.9463,523.2941,2.2129,16.2357,0.9813,36.9
2.02,0.0634,94.5525,73.6209,113.9299,74.6769,5.8627,4.08,504.4039,2.1414,15.3603,0.9812,36.9
2.06,0.0668,94.9732,70.0797,114.5367,73.87,5.7134,4.0931,519.9379,2.1743,15.9229,0.9766,36.9
2.12,0.0682,93.8768,71.8541,115.139,74.9607,5.9838,3.8279,537.3576,2.252,15.6209,0.9779,36.9
2.16,0.0695,95.8443,69.3254,114.8354,74.6638,5.6692,3.922,541.8298,2.1777,15.857,0.9803,36.9
2.22,0.0663,96.5773,77.012,113.9345,75.5172,5.9474,4.0346,445.5141,2.049,15.6885,0.9779,36.9
2.26,0.0714,96.5078,69.5228,113.5861,74.6669,5.7553,4.0203,455.0048,2.0462,16.9166,0.9847,36.9
2.32,0.0612,95.0079,72.009,113.2334,76.3803,5.5606,4.0457,442.3936,2.0848,16.3913,0.9799,36.9
2.36,0.0666,95.2919,72.0996,113.3337,73.7299,5.5666,4.2023,496.2703,2.1642,16.0144,0.9762,36.9
2.42,0.0639,95.1412,75.1938,110.4302,72.4818,5.7311,4.0269,452.0061,2.0339,16.5712,0.9797,36.9
2.46,0.0721,95.4497,73.8276,117.0699,74.8085,5.8454,4.0506,512.3973,2.1389,16.5487,0.9794,36.9
2.52,0.0666,95.9549,70.6619,115.093,74.3179,5.8511,4.1106,539.6829,2.1477,16.1115,0.9759,36.9
2.56,0.0658,97.0357,72.708,110.1987,75.2231,5.7139,4.0707,508.6776,2.2155,16.5652,0.9756,36.9
2.62,0.0636,95.0295,73.5012,110.4936,75.5219,5.7385,3.9539,513.3526,2.1037,16.3542,0.9813,36.9
2.66,0.0639,95.741,73.3096,110.823,75.1385,5.7588,3.8851,527.2478,2.2208,16.2711,0.9822,36.9
2.72,0.071,93.7195,74.0436,117.7986,73.5963,5.8849,4.0262,504.9803,2.1107,16.2863,0.9799,36.9
2.76,0.0672,94.6642,71.8561,112.9156,76.1876,5.536,3.8406,458.9515,2.1303,15.8645,0.9791,36.9
2.82,0.0675,94.045,70.6835,114.012,76.2588,5.6796,3.8448,472.8887,2.1565,15.8118,0.9785,36.9
2.86,0.0695,96.5492,70.0768,112.8288,74.202,5.8557,3.9125,539.987,2.2244,16.437,0.9807,36.9
2.92,0.0705,93.652,72.3626,115.6026,73.4241,6.0051,3.973,519.0026,2.1216,16.6158,0.9781,36.9
2.96,0.0663,96.0608,71.8805,113.8714,73.8613,5.7566,3.8105,474.8668,2.0456,16.7461,0.9815,36.9
3.02,0.0678,97.8496,72.9973,115.2361,72.943,5.7439,4.0687,415.8595,2.2305,16.6346,0.9789,36.9
3.06,0.0693,94.8801,71.7924,114.9257,75.1652,5.7692,4.0168,459.658,2.2525,16.3717,0.9782,36.9
3.12,0.07,95.7905,73.1605,115.3005,75.6032,5.7289,3.7047,480.0161,2.1437,16.5595,0.9791,36.9
3.16,0.0698,95.2859,73.5239,112.0088,74.0315,5.8013,3.8706,472.7365,2.2743,16.0487,0.9805,36.9
3.22,0.0681,95.7364,72.8559,112.7297,73.5866,5.8544,3.9478,449.5095,2.3527,17.4667,0.9798,36.9
3.26,0.0646,96.3829,72.0426,117.1173,75.1519,5.7632,3.8042,512.3404,2.3911,16.2672,0.9819,36.9
3.32,0.0663,95.1396,68.6205,110.1163,76.5123,5.8205,3.8529,482.9668,2.2671,16.9802,0.9779,36.9
3.36,0.0688,95.8536,71.1147,112.9517,74.2004,5.8829,3.9311,512.1236,2.4424,16.6675,0.9807,36.9
3.42,0.0737,94.4287,72.247,115.1496,74.6472,5.7151,3.8916,523.5613,2.4619,15.6628,0.9779,36.9
3.46,0.0659,94.5457,72.9414,110.6804,74.2202,5.7671,3.5867,424.7384,2.379,16.2433,0.9798,36.9
3.52,0.0714,96.7967,71.0981,111.3501,75.0728,5.6418,3.6575,490.5991,2.4542,15.9097,0.9796,36.9
3.56,0.0647,94.9757,68.2513,113.8727,76.0629,5.7062,3.9151,418.1429,2.4005,16.3208,0.9783,36.9
3.62,0.0676,95.9911,72.3679,114.2566,73.6454,6.0834,3.9021,480.7007,2.4308,15.5754,0.9795,36.9
3.66,0.0636,94.6049,71.8063,116.0584,74.7731,5.5211,3.8764,494.7885,2.5504,15.6204,0.9796,36.9
3.72,0.06,94.8459,74.4051,116.1793,75.2336,5.7736,3.9666,567.1947,2.4348,15.7094,0.9773,36.9
3.76,0.0668,95.9791,73.5701,118.0408,74.4261,5.78,3.8598,491.1155,2.5305,16.3998,0.9803,36.9
3.82,0.0675,93.7518,71.932,114.1096,75.1844,5.9135,4.0639,503.6191,2.6149,15.9839,0.9776,36.9
3.86,0.0647,94.8671,71.697,113.0696,74.7969,5.7815,3.836,457.8818,2.5597,16.2956,0.9789,36.9
3.92,0.0696,94.8767,73.072,114.8245,74.8479,5.8677,4.0999,516.1303,2.4703,16.4842,0.9812,36.9
3.96,0.0663,95.2465,72.2496,113.0506,75.7917,5.8648,3.8964,490.1762,2.6106,16.5748,0.9797,36.9
4.02,0.0629,94.1526,72.5935,116.5286,74.644,5.6768,4.2697,467.0928,2.6359,16.5022,0.9785,36.9
4.06,0.0738,98.994,74.2026,113.9995,74.8319,5.5885,3.8579,536.9299,2.5478,16.6404,0.9779,36.9
4.12,0.0709,94.2443,73.4704,117.0315,73.8729,5.8605,3.8162,437.9768,2.6255,16.1432,0.9784,36.9
4.16,0.0655,94.3684,71.7287,112.9865,75.1674,5.6857,3.825,509.9312,2.6323,15.2451,0.9795,36.9
4.22,0.0725,94.1498,67.9056,116.4441,74.5222,5.5721,3.8559,464.5153,2.569,15.8279,0.9783,36.9
4.26,0.0695,94.0518,72.9587,115.2732,76.5313,5.7076,3.9558,480.0298,2.5693,16.1327,0.9769,36.9
4.32,0.0684,95.2409,70.0292,114.7775,75.1623,5.668,3.7404,415.323,2.4757,16.2237,0.9784,36.9
4.36,0.0653,96.3416,68.998,115.6162,75.1348,5.8442,3.7727,521.273,2.4285,16.7988,0.9821,36.9
4.42,0.0647,97.3162,71.4745,111.4598,73.7002,6.0629,3.8524,517.0169,2.3579,16.4442,0.9816,36.9
4.46,0.0666,95.6294,73.4149,111.0835,74.9368,5.8299,3.9784,544.3323,2.34,16.14,0.9814,36.9
4.52,0.0658,96.2879,70.1384,114.1476,73.6089,5.7611,3.8534,506.0104,2.1967,16.0961,0.9804,36.9
4.56,0.0694,94.9868,73.3234,113.7998,73.7581,5.9316,3.7044,488.0017,2.2904,16.3838,0.9818,36.9
4.62,0.0695,94.5924,75.4042,113.3452,75.2361,5.9183,4.0262,494.1402,2.1942,16.0999,0.9862,36.9
4.66,0.0697,93.7255,76.1266,112.0786,74.6049,5.8479,4.0721,553.4787,2.2017,16.3403,0.9815,36.9
4.72,0.0685,96.2827,67.9089,113.6436,74.4889,5.876,4.0472,478.3134,2.1257,16.1233,0.9785,36.9
4.76,0.0691,96.8287,72.3049,112.2167,74.9267,5.6435,4.0608,534.9238,2.1572,16.2632,0.9791,36.9
4.82,0.0625,94.7335,73.2984,114.5614,74.1202,6.0531,3.9623,501.1682,2.2134,16.8118,0.9779,36.9
4.86,0.0707,95.1695,71.5367,111.3332,73.4061,5.776,3.7957,443.7039,2.1923,16.5282,0.9817,36.9
4.92,0.0673,94.3868,68.6499,114.5046,74.2361,5.9563,3.9726,501.7574,2.2164,16.1307,0.9787,36.9
4.96,0.0721,95.9034,71.7866,111.469,75.8295,5.7871,4.0323,506.256,2.0706,16.8709,0.9781,36.9
5.02,0.0626,95.9223,73.372,115.1524,74.5532,5.8114,3.8089,459.636,2.2082,16.1491,0.9737,36.9
5.06,0.0697,96.7292,71.3895,109.3996,73.9427,5.9146,4.0579,521.3704,2.0582,16.3414,0.9764,36.9
5.12,0.0649,93.4576,70.6656,117.3934,75.3034,5.911,3.8999,499.5959,2.1411,16.0715,0.9833,36.9
5.16,0.0679,97.4238,72.3447,113.7588,75.7344,5.8702,4.0397,463.2577,2.0715,15.764,0.9748,36.9
5.22,0.0694,94.0678,69.4701,114.3269,73.9383,5.8234,3.9955,428.2071,2.1207,16.3542,0.9778,36.9
5.26,0.0662,94.9376,70.4053,116.3081,74.4745,5.6636,3.6057,497.5521,2.2264,16.0754,0.9818,36.9
5.32,0.0744,96.541,73.4897,116.0595,74.6621,5.9327,3.7389,462.4707,2.1879,15.7564,0.9804,36.9
5.36,0.0664,94.2363,72.6681,116.2135,73.6875,5.8694,3.8771,399.3818,2.1437,16.3885,0.9796,36.9
5.42,0.0712,94.9034,69.5013,111.8844,74.2702,5.7543,3.9316,418.5772,2.132,16.3416,0.979,36.9
5.46,0.0668,96.2081,71.7818,112.5422,74.2995,5.675,3.925,405.6985,2.0541,16.007,0.9781,36.9
5.52,0.064,93.9226,73.2349,115.5304,74.1024,5.7569,4.1436,527.5673,2.1395,16.0412,0.9784,36.9
5.56,0.0647,93.7474,73.2072,117.3761,75.9338,6.03,3.7764,459.4403,2.0781,16.117,0.9805,36.9
5.62,0.0754,95.6324,73.535,112.1017,74.2384,5.6907,3.9832,500.38,2.0998,16.023,0.9776,36.9
5.66,0.064,97.7682,72.9747,112.2444,73.9171,5.7052,4.0799,481.7406,2.2333,17.2387,0.9778,36.9
5.72,0.0694,94.0338,72.4578,121.4805,74.0832,5.8512,4.0706,535.0703,2.1466,15.967,0.9795,36.9
5.76,0.0678,94.7065,72.5242,114.8158,75.5714,6.0567,3.912,485.1792,2.1237,16.1903,0.9764,36.9
5.82,0.0695,92.1067,73.5069,113.6205,75.0002,5.7783,3.7823,378.1965,2.2361,16.6001,0.9809,36.9
5.86,0.069,95.7573,70.6367,113.0607,74.1984,6.0208,4.102,325.3766,2.1202,17.1164,0.9803,36.9
5.92,0.0658,95.0766,69.3988,118.0077,75.2795,5.988,4.0119,570.6499,2.1487,16.2561,0.9777,36.9
5.96,0.071,94.9696,71.1045,115.9492,75.8292,5.8826,3.7345,509.2699,2.1316,16.5058,0.9769,36.9
6.02,0.0729,94.5646,72.317,113.3045,74.1823,6.0006,3.8073,445.2863,2.1458,16.4082,0.9743,36.9
6.06,0.0671,94.8056,72.0739,114.3966,75.5465,5.9204,3.8697,472.9695,2.1159,15.1876,0.9786,36.9
6.12,0.0654,94.6894,71.4191,112.9845,74.369,5.7635,3.9096,503.1781,2.2236,16.5413,0.9765,36.9
6.16,0.0617,95.1088,72.3428,114.7772,74.5076,5.8393,3.9327,446.4795,2.1931,15.8093,0.9776,36.9
6.22,0.067,95.1525,71.6614,113.2397,74.4559,5.7704,3.9571,479.6893,2.1919,16.5021,0.983,36.9
6.26,0.0708,94.9199,74.6206,113.8283,74.7112,5.6512,3.853,522.8278,2.1139,16.593,0.9796,36.9
6.32,0.0686,94.144,71.8972,114.4001,73.5816,5.6551,3.9017,486.1158,2.0385,17.8778,0.9799,36.9
6.36,0.0597,94.4492,73.6555,111.8331,75.0282,5.7914,3.9647,490.9087,2.1863,16.7598,0.9778,36.9
6.42,0.0645,94.9116,70.6766,111.8536,73.976,5.921,3.844,496.4938,2.1969,16.781,0.9765,36.9
6.46,0.064,96.0572,69.951,112.0327,74.8591,5.559,3.9927,564.5605,2.0465,16.3848,0.9758,36.9
6.52,0.0592,95.1115,69.1243,116.1602,75.8383,5.6828,3.8432,517.5576,2.1439,16.4247,0.9795,36.9
6.56,0.0712,95.3239,74.5481,113.7405,75.5661,5.7633,3.9228,419.5666,2.063,15.0115,0.9798,36.9
6.62,0.0674,94.4526,74.3062,116.1356,74.7561,5.6383,4.0802,468.6135,2.2648,16.2355,0.9769,36.9
6.66,0.0721,98.1777,72.4309,117.5396,73.7436,5.6446,3.9827,448.1128,2.2066,16.4229,0.9794,36.9
6.72,0.0667,95.8912,72.5611,112.5044,74.6695,5.6189,4.0486,453.3339,2.2665,16.7822,0.9775,36.9
6.76,0.0709,96.8453,71.3793,109.322,74.6294,5.6825,3.8477,399.4959,2.1709,16.0346,0.9785,36.9
6.82,0.0641,96.3856,68.4217,116.0004,75.5661,5.861,3.9428,439.7183,2.2907,17.1229,0.9767,36.9
6.86,0.0672,96.3135,73.9076,113.927,75.5828,5.9162,3.8468,464.2287,2.2378,16.0747,0.9763,36.9
6.92,0.0721,94.9219,72.1428,112.2405,73.4985,5.9087,3.6069,521.8936,2.2812,15.653,0.9796,36.9
6.96,0.0644,93.7528,68.3547,113.6742,74.9105,5.8278,3.7662,458.7524,2.2623,16.0821,0.9783,36.9
7.02,0.0694,95.5097,68.2431,116.3289,75.8164,5.6507,3.7648,477.325,2.3605,15.6459,0.9787,36.9
7.06,0.0673,95.3623,69.8856,114.719,74.985,5.8078,3.8356,382.8594,2.326,17.0537,0.9791,36.9
7.12,0.0714,94.6765,75.2863,114.1169,74.86,5.7534,3.7296,459.4699,2.4122,17.1501,0.9772,36.9
7.16,0.0683,97.2762,74.0389,113.6598,73.8096,5.8795,4.1587,436.3321,2.4803,15.8168,0.9772,36.9
7.22,0.0657,93.9877,71.9439,111.3898,74.3275,5.7576,3.6168,495.9483,2.4875,16.6892,0.9771,36.9
7.26,0.0687,95.5529,74.1539,118.634,76.8579,5.7861,4.0368,465.44,2.4755,16.0655,0.9785,36.9
7.32,0.062,97.4868,74.0551,112.4564,75.6778,5.7986,4.2038,458.785,2.4386,16.6566,0.9769,36.9
7.36,0.0704,96.9958,69.9059,113.6939,75.4895,5.6649,3.9477,480.7941,2.4644,17.0331,0.9797,36.9
7.42,0.0615,97.7402,69.5236,116.2415,73.8469,5.7405,3.8545,496.2232,2.4251,16.5736,0.9809,36.9
7.46,0.0661,95.3622,74.1084,112.6669,76.0455,5.7175,3.9127,454.4878,2.5096,15.9622,0.9789,36.9
7.52,0.0675,96.1738,71.7298,116.6349,73.2836,5.9368,3.931,459.3102,2.5893,15.5711,0.9773,36.9
7.56,0.0687,94.5108,74.3898,114.373,75.3865,5.4678,3.9231,495.4311,2.592,16.2979,0.9786,36.9
7.62,0.0703,96.6987,74.4405,112.533,73.4855,5.6808,4.2406,456.3616,2.5412,16.085,0.9762,36.9
7.66,0.0671,93.6795,68.1751,116.7393,75.5029,6.0644,3.7628,442.8097,2.5744,16.0602,0.9756,36.9
7.72,0.0724,95.8807,72.6841,113.4582,73.752,5.9175,3.8041,509.6123,2.5858,15.1981,0.9761,36.9
7.76,0.0675,97.6234,73.794,114.163,74.4211,5.9179,3.6546,416.7011,2.5764,16.6598,0.9751,36.9
7.82,0.0652,95.2206,71.1469,116.233,75.511,5.7394,3.7498,414.664,2.5679,16.533,0.9764,36.9
7.86,0.0705,94.8298,73.0226,117.9111,74.8025,5.843,3.6503,543.5526,2.6292,16.2997,0.9811,36.9
7.92,0.068,98.5072,74.8621,113.0968,74.7724,5.8232,4.1578,432.1245,2.5082,16.7833,0.9791,36.9
