Time(s),CTSresistance,MeanArterialPressure(mmHg),HeartRate(1/min),SystolicArterialPressure(mmHg),DiastolicArterialPressure(mmHg),CardiacOutput(L/min),CentralVenousPressure(mmHg),TidalVolume(mL),TotalLungVolume(L),RespirationRate(1/min),OxygenSaturation,CoreTemperature(degC)
0.06,0.0652,92.254,68.6131,111.0643,67.008,5.496,3.6377,421.9745,2.3273,14.6661,0.9738,36.8
0.12,0.0738,92.349,72.5448,111.135,72.8114,5.6845,3.8902,391.5178,2.3923,13.9685,0.9827,36.8
0.16,0.0696,91.1206,70.9418,113.8772,72.1294,5.2763,3.8948,408.7008,2.2389,14.6178,0.9838,36.8
0.22,0.069,94.0849,72.0496,113.7379,72.809,5.4918,3.5043,476.5091,2.0821,14.7732,0.985,36.8
0.26,0.0776,92.4794,72.6876,110.9028,74.5261,6.1664,4.0957,596.1611,2.3354,13.9286,0.9776,36.8
0.32,0.0716,96.7101,75.3064,115.5897,75.9234,5.4977,4.1872,491.9785,2.1566,14.4206,0.9809,36.8
0.36,0.0583,95.0409,69.9328,108.4882,70.1315,5.3788,3.6518,439.3709,2.1805,14.0497,0.9845,36.8
0.42,0.0729,95.9605,70.7382,111.399,75.5959,5.9149,3.6246,437.7234,2.252,14.0401,0.9825,36.8
0.46,0.0686,86.3083,73.324,110.0835,73.2517,5.3879,3.8994,451.022,2.4055,13.2741,0.9767,36.8
0.52,0.0782,99.8108,67.9138,114.6299,74.3043,5.8392,3.8348,384.2024,2.0196,14.536,0.984,36.8
0.56,0.0694,90.6542,74.8748,109.8421,73.327,5.4806,4.0828,489.8692,2.1839,14.3414,0.976,36.8
0.62,0.0679,100.1948,75.7159,112.1214,73.6423,5.6636,4.1874,373.5368,2.1706,14.0541,0.9835,36.8
0.66,0.0643,91.1998,68.1626,114.2656,72.2725,5.5377,3.9968,418.1117,2.2047,15.0232,0.9811,36.8
0.72,0.0759,89.3829,70.1866,111.4085,74.0816,5.3658,4.6557,530.9605,2.2158,14.2595,0.9787,36.8
0.76,0.0673,92.0078,68.3259,114.4935,71.9971,5.4494,3.9447,356.0063,2.1248,14.194,0.9806,36.8
0.82,0.0686,94.7704,65.6338,116.3568,72.7687,5.9294,3.2642,549.8394,2.167,14.333,0.9807,36.8
0.86,0.0651,101.2351,72.5066,114.6488,77.2792,5.6122,3.907,489.8818,2.3611,13.8517,0.9809,36.8
0.92,0.0649,96.2814,74.8182,119.1402,77.1433,5.65,3.6998,517.2555,2.118,13.4949,0.9825,36.8
0.96,0.0706,101.305,68.5557,113.5152,73.4172,5.8999,3.3316,459.7895,2.2747,13.468,0.9797,36.8
1.02,0.0751,92.6528,68.402,111.4761,71.4391,5.735,4.0689,536.1296,2.2842,13.6079,0.978,36.8
1.06,0.0753,93.1088,68.1207,115.4414,75.6615,5.8472,3.7314,418.8404,2.2719,14.4091,0.9811,36.8
1.12,0.068,95.0077,72.2193,117.4377,72.7033,5.8761,3.6429,592.8628,2.2189,13.263,0.9777,36.8
1.16,0.0598,96.7647,70.5638,113.3044,73.3852,6.1039,3.5495,547.4187,2.2871,13.3016,0.9815,36.8
1.22,0.0675,93.4928,67.4604,115.949,74.6753,5.5309,3.7477,463.7345,2.2511,14.4214,0.9818,36.8
1.26,0.0736,91.5594,66.6964,122.2368,73.2091,6.0528,3.6296,318.4548,2.209,14.8166,0.9795,36.8
1.32,0.0748,92.1567,72.2936,115.665,74.5454,5.9706,3.7178,394.7895,2.2869,13.2536,0.9786,36.8
1.36,0.0663,95.3503,70.6577,114.5315,74.737,5.2866,4.0015,340.3731,2.428,14.7165,0.9817,36.8
