Time(s),CTSresistance,MeanArterialPressure(mmHg),HeartRate(1/min),SystolicArterialPressure(mmHg),DiastolicArterialPressure(mmHg),CardiacOutput(L/min),CentralVenousPressure(mmHg),TidalVolume(mL),TotalLungVolume(L),RespirationRate(1/min),OxygenSaturation,CoreTemperature(degC)
0.06,0.0713,95.3739,73.6904,114.1506,75.7987,5.8403,3.9249,421.6062,2.2187,18.187,0.9772,36.9
0.12,0.0692,94.8875,71.0091,112.9596,74.1623,5.5579,3.9101,391.4096,2.2043,18.8944,0.9782,36.9
0.16,0.0723,96.4857,74.4047,110.5115,72.601,5.6435,4.0939,408.9208,2.1733,18.0275,0.9805,36.9
0.22,0.0707,94.0954,71.2421,113.9506,74.7721,5.5711,3.969,366.0312,2.2501,18.2461,0.9819,36.9
0.26,0.0686,95.3749,69.8132,113.344,73.5371,5.8138,3.7827,321.379,2.2154,18.0098,0.9785,36.9
0.32,0.0687,94.6942,71.764,109.498,73.7161,5.6052,4.1867,444.6133,2.1669,18.0904,0.9795,36.9
0.36,0.0648,94.4969,73.1595,113.9629,75.313,5.6823,4.2099,389.6674,2.2572,18.037,0.9802,36.9
0.42,0.0705,94.8105,74.1115,111.7225,75.4962,5.8156,4.0142,398.4141,2.1715,17.8751,0.9779,36.9
0.46,0.0735,95.9554,71.6143,113.1418,74.0713,5.5226,3.812,346.1408,2.2465,18.8001,0.9759,36.9
0.52,0.0696,96.7031,70.9125,113.9121,74.4421,5.7862,4.0593,435.9217,2.2693,18.3391,0.9777,36.9
0.56,0.0666,94.864,70.7396,111.1948,73.9081,5.5676,3.7737,398.0759,2.2219,18.8726,0.978,36.9
0.62,0.0665,95.4571,68.0761,113.4375,75.2441,5.7969,4.1105,452.5909,2.2173,18.2219,0.9784,36.9
0.66,0.0703,93.9874,71.5291,114.0983,73.3774,5.5524,3.899,335.4918,2.2011,17.5531,0.9799,36.9
0.72,0.0643,97.1145,71.5074,114.3851,74.9437,5.6521,3.7987,465.5474,2.2631,18.4198,0.9805,36.9
