Time(s),CTSresistance,MeanArterialPressure(mmHg),HeartRate(1/min),SystolicArterialPressure(mmHg),DiastolicArterialPressure(mmHg),CardiacOutput(L/min),CentralVenousPressure(mmHg),TidalVolume(mL),TotalLungVolume(L),RespirationRate(1/min),OxygenSaturation,CoreTemperature(degC)
0.06,0.0798,88.846,61.9832,123.8727,75.2204,5.0663,4.0943,265.222,2.7149,19.4522,0.9705,36.9
0.12,0.075,98.6152,70.1137,114.546,71.768,5.3263,4.054,356.0421,2.6337,16.0886,0.9831,36.9
0.16,0.0541,94.4494,70.9007,110.7999,73.5773,5.2561,4.4949,599.4613,2.697,16.451,0.9787,36.9
0.22,0.0603,93.3933,75.7691,113.2709,71.3457,6.0566,3.8952,489.3486,2.862,18.9384,0.9882,36.9
0.26,0.0654,94.1484,74.5992,122.9995,76.2983,5.4421,4.3289,267.5131,2.8873,18.9212,0.9768,36.9
0.32,0.0612,95.4224,67.1908,109.4817,75.9834,5.9203,3.5398,564.8285,2.6713,16.2134,0.9756,36.9
0.36,0.0677,103.4301,69.0123,126.5568,74.274,5.3754,3.7789,502.6291,3.1786,18.9745,0.9884,36.9
0.42,0.0617,91.8066,72.6341,124.0705,77.9239,5.4067,4.1143,615.5789,2.7883,18.5798,0.9789,36.9
0.46,0.058,92.6352,69.3539,111.6288,71.3778,6.3244,4.5433,377.7195,3.1524,17.584,0.978,36.9
0.52,0.0681,96.8625,72.5675,122.1563,73.8339,6.0529,3.9055,434.7064,2.9919,20.4668,0.9726,36.9
0.56,0.0796,96.1718,77.5564,116.3293,81.6482,6.1133,3.8273,579.8536,3.1992,17.8853,0.9855,36.9
0.62,0.0779,98.4546,63.2389,119.7655,73.8133,5.7475,3.8074,409.8913,2.9364,19.0487,0.9812,36.9
0.66,0.0772,92.8439,59.9451,116.6158,74.8749,5.5534,4.5372,367.2801,3.0502,18.0574,0.9832,36.9
0.72,0.0788,86.9735,75.4939,117.3534,75.0659,5.6078,3.3174,333.2553,2.6966,15.5269,0.9844,36.9
0.76,0.0693,85.9942,66.2936,123.7826,69.5781,6.5297,4.2587,575.9544,2.7446,18.4775,0.9841,36.9
0.82,0.0726,93.4637,71.5335,121.6553,74.3002,5.5551,3.951,586.5647,2.863,18.3027,0.9826,36.9
