Time(s),CTSresistance,MeanArterialPressure(mmHg),HeartRate(1/min),SystolicArterialPressure(mmHg),DiastolicArterialPressure(mmHg),CardiacOutput(L/min),CentralVenousPressure(mmHg),TidalVolume(mL),TotalLungVolume(L),RespirationRate(1/min),OxygenSaturation,CoreTemperature(degC)
0.06,0.0734,96.5313,73.5648,114.8668,75.8839,5.5951,3.8725,527.0998,2.4636,14.409,0.9775,36.9
0.12,0.0714,94.8964,71.2348,111.6684,74.7996,5.8632,4.3463,446.1022,2.3988,13.7688,0.9783,36.9
0.16,0.0676,91.8368,74.184,111.411,75.562,5.8806,3.7218,509.7858,2.4056,14.4714,0.9795,36.9
0.22,0.0649,96.3778,73.3233,113.9298,75.4565,5.6561,4.0467,495.8572,2.4102,15.3847,0.9792,36.9
0.26,0.0618,96.7146,70.0358,111.6883,75.1273,5.9187,3.9663,509.9762,2.4442,14.4048,0.9793,36.9
0.32,0.0686,93.3571,70.8419,113.73,75.3623,5.7746,3.9135,443.7966,2.564,14.8672,0.9794,36.9
0.36,0.0712,94.5838,70.083,112.5184,74.3791,5.4102,4.0399,541.1511,2.5053,14.4566,0.9762,36.9
0.42,0.0711,94.0849,72.1685,111.6021,74.8496,5.7417,4.055,489.0018,2.4595,14.7404,0.9802,36.9
0.46,0.0662,96.0381,70.8838,115.1621,74.5305,5.5728,4.0147,539.9369,2.4456,13.5776,0.9809,36.9
0.52,0.0714,93.9197,71.5116,112.1531,75.6891,5.6593,3.9754,514.432,2.3975,14.3464,0.9838,36.9
0.56,0.0687,95.1319,74.1923,113.0165,74.0284,5.5015,4.1963,514.6241,2.4623,14.2262,0.978,36.9
0.62,0.0606,96.232,71.8329,114.5931,74.3557,5.9758,4.257,407.2331,2.334,13.9942,0.9744,36.9
0.66,0.067,95.3048,71.9417,114.883,74.9166,5.9424,3.8397,541.5366,2.4869,13.9538,0.9803,36.9
0.72,0.0684,93.8606,71.9931,116.6197,75.4974,5.7116,3.8051,501.697,2.456,14.5435,0.9785,36.9
0.76,0.0642,97.366,68.433,113.6953,75.7489,5.9453,4.115,562.8038,2.3589,15.3392,0.9814,36.9
0.82,0.0631,97.0593,67.4612,112.1433,74.8544,5.79,3.8897,488.3327,2.4825,14.5228,0.9821,36.9
0.86,0.0643,95.8074,69.8939,114.4065,73.5104,5.7888,4.1881,536.7747,2.3343,14.7427,0.9761,36.9
0.92,0.0703,94.4624,71.8149,112.9705,74.8898,5.7364,3.9455,510.2037,2.4332,14.2235,0.9794,36.9
0.96,0.0731,96.0406,72.1708,112.7954,73.9481,5.6408,3.8994,482.6637,2.4421,14.5538,0.981,36.9
1.02,0.0717,92.7673,74.4405,116.2118,75.2261,5.9595,3.6834,448.7872,2.4337,13.987,0.9809,36.9
1.06,0.0682,95.7757,71.1859,114.1366,76.0573,5.527,3.9339,485.9596,2.4894,14.3637,0.9791,36.9
1.12,0.0665,96.5866,73.2157,116.9973,75.2246,5.935,3.8759,585.0751,2.4044,14.7442,0.9805,36.9
1.16,0.0672,93.876,71.3318,117.9102,74.4945,6.2292,3.965,546.8818,2.4079,14.8373,0.9751,36.9
1.22,0.0718,95.9933,72.6338,118.1571,74.1904,5.8019,4.1089,497.5725,2.3357,13.9867,0.977,36.9
1.26,0.0681,94.9073,74.0706,113.8783,74.3116,5.991,3.9498,537.9609,2.4684,14.7832,0.9827,36.9
1.32,0.0756,98.3313,74.7459,112.2981,73.5753,5.5853,3.8909,508.5482,2.5088,14.6235,0.9793,36.9
1.36,0.065,98.011,73.8624,113.9057,74.214,5.7642,4.1171,510.2494,2.3816,14.5605,0.98,36.9
1.42,0.0656,95.1723,70.8543,114.086,75.2258,5.8383,3.8601,542.6376,2.441,14.8919,0.9783,36.9
