Time(s),CTSresistance,MeanArterialPressure(mmHg),HeartRate(1/min),SystolicArterialPressure(mmHg),DiastolicArterialPressure(mmHg),CardiacOutput(L/min),CentralVenousPressure(mmHg),TidalVolume(mL),TotalLungVolume(L),RespirationRate(1/min),OxygenSaturation,CoreTemperature(degC)
0.06,0.0605,100.8284,92.457,115.7525,75.6126,6.2822,2.8175,586.3971,3.1295,16.7671,1.0007,36.9
0.12,0.051,104.3266,91.4492,113.1882,76.6806,7.1094,2.7195,510.6978,2.6671,16.3393,0.9807,36.9
0.16,0.0365,97.3842,95.0015,112.9946,75.5472,7.0076,4.1833,519.5194,2.8281,16.0849,0.9777,36.9
0.22,0.0439,96.5995,73.173,115.3652,73.3239,6.8567,3.5677,370.8793,3.0321,19.0366,0.9848,36.9
0.26,0.0509,97.0724,92.6251,107.5756,73.0414,6.9574,3.6402,571.5249,2.8237,17.5062,0.9775,36.9
0.32,0.056,103.1821,83.3853,113.5009,75.4622,7.2315,3.5818,460.2853,2.835,16.6791,0.9568,36.9
0.36,0.0689,94.2693,88.8704,116.999,73.7623,6.006,3.9219,494.5567,2.9337,16.8305,0.9688,36.9
0.42,0.058,95.8685,71.7993,113.699,72.3199,7.2104,4.5214,414.3,3.007,15.4276,0.9758,36.9
0.46,0.0506,100.4093,79.9068,102.6946,74.9707,7.4169,3.7435,560.2258,3.2195,16.2421,0.9745,36.9
0.52,0.067,94.2291,78.5877,121.2728,70.8841,7.0021,3.1777,421.7461,2.8361,17.2728,0.9811,36.9
0.56,0.0553,97.7162,78.5587,122.0157,75.2123,7.1263,3.5058,281.0694,3.1685,15.1783,0.9901,36.9
0.62,0.0634,93.8679,83.9121,109.3582,78.9616,6.8742,4.988,631.1751,3.355,18.008,0.9655,36.9
0.66,0.039,91.1189,77.0465,125.5915,73.9713,6.9332,3.9451,462.2349,3.2812,16.5452,0.9761,36.9
0.72,0.0488,92.7877,79.6574,108.7392,73.0495,7.3674,3.8597,783.1077,3.1954,14.1273,0.9751,36.9
0.76,0.0396,95.5112,85.8643,116.6838,72.5429,6.9028,4.305,697.4384,2.8467,17.621,0.9839,36.9
0.82,0.0428,96.703,84.146,112.4884,75.4538,5.7862,4.7588,581.6122,3.1777,12.5396,0.9749,36.9
0.86,0.0498,101.3221,79.561,114.1705,75.8789,6.0163,3.7275,516.8436,2.9269,14.716,0.9893,36.9
0.92,0.0734,92.5553,81.1521,117.4311,73.1879,6.0099,3.7803,414.8928,3.3997,16.933,0.9844,36.9
0.96,0.0554,95.1017,90.3879,115.4706,70.4596,6.988,3.93,272.8803,3.2406,14.0279,0.9836,36.9
1.02,0.0378,101.789,78.603,117.8323,71.243,7.5405,3.8321,566.4516,3.3974,13.7266,0.9857,36.9
1.06,0.0518,92.5352,81.7646,110.4952,74.2943,7.462,4.3273,321.0234,2.757,15.4592,0.9731,36.9
1.12,0.0482,96.7816,77.3874,117.3992,74.9116,6.382,3.6581,538.6942,2.7581,17.9342,0.9861,36.9
