Time(s),CTSresistance,MeanArterialPressure(mmHg),HeartRate(1/min),SystolicArterialPressure(mmHg),DiastolicArterialPressure(mmHg),CardiacOutput(L/min),CentralVenousPressure(mmHg),TidalVolume(mL),TotalLungVolume(L),RespirationRate(1/min),OxygenSaturation,CoreTemperature(degC)
0.06,0.0647,92.5656,72.9802,111.5008,75.3991,6.0169,3.6767,451.8272,2.3494,16.0063,0.981,36.9
0.12,0.0645,95.568,72.8818,112.964,74.2076,5.9186,3.9313,466.7963,2.3816,16.4503,0.9768,36.9
0.16,0.0732,96.7496,73.5755,111.1287,74.6136,5.9301,3.9162,491.0865,2.4024,17.1712,0.9788,36.9
0.22,0.0721,95.3125,70.1713,112.9695,74.7722,5.5919,4.2412,549.0502,2.3888,16.7471,0.9796,36.9
0.26,0.0604,93.9486,72.3577,111.9949,74.1424,5.68,3.9126,480.299,2.3538,17.0507,0.9772,36.9
0.32,0.0658,96.5216,70.4616,115.5579,74.2635,5.9888,3.9786,390.1333,2.3066,16.1085,0.9776,36.9
0.36,0.069,95.0926,73.8878,114.2431,75.2171,5.7043,3.853,486.4612,2.4192,17.1135,0.9779,36.9
0.42,0.0682,95.8981,69.6443,116.577,76.3827,5.6862,3.993,511.8608,2.3424,16.9585,0.9777,36.9
0.46,0.0659,96.5371,72.384,113.0983,74.9197,5.4473,4.1152,514.9148,2.4346,17.2104,0.9754,36.9
0.52,0.0668,93.7245,71.5829,113.6078,75.5693,5.6858,3.7718,409.4284,2.4134,16.387,0.9767,36.9
0.56,0.0659,95.2471,70.3612,114.0166,73.115,5.6993,3.9991,558.5611,2.5127,15.7009,0.9797,36.9
0.62,0.0664,95.6086,67.9325,109.2902,72.7971,5.8049,3.9882,467.634,2.3787,16.0946,0.9755,36.9
0.66,0.0654,95.7996,73.442,112.027,75.5013,5.7453,4.056,477.115,2.4148,16.5893,0.9775,36.9
0.72,0.0687,97.389,72.6236,108.4726,73.3021,5.6211,3.988,522.0025,2.4284,16.9172,0.9792,36.9
0.76,0.0649,96.0566,71.4227,113.9347,74.0196,5.7974,4.184,464.7083,2.3652,16.8227,0.979,36.9
0.82,0.0563,93.576,72.9383,112.1532,75.1252,5.7111,4.0445,454.824,2.4647,17.4123,0.974,36.9
0.86,0.0682,94.6206,71.753,113.2417,74.7414,5.8579,3.9324,471.3485,2.3893,16.5197,0.9775,36.9
0.92,0.0684,94.9221,71.8743,115.907,73.6244,5.6547,3.9197,492.9477,2.4185,16.6723,0.9813,36.9
0.96,0.0623,95.7832,70.7178,111.2247,72.9303,5.8507,4.0032,456.4619,2.3374,16.6194,0.9751,36.9
1.02,0.071,96.6355,70.5726,117.8633,74.8206,5.83,3.9566,516.5461,2.3359,16.6132,0.9774,36.9
1.06,0.0615,94.7445,71.9878,112.0918,74.919,5.6993,3.9387,429.4337,2.4227,16.7894,0.9792,36.9
1.12,0.0678,95.4969,73.6603,112.7071,74.8522,5.8555,3.9417,514.0457,2.4584,16.5051,0.9797,36.9
1.16,0.0682,97.2656,72.7867,108.9979,75.9149,5.9241,4.0772,412.7441,2.4975,17.0674,0.9788,36.9
1.22,0.0635,94.7284,72.288,112.9874,76.2039,5.5776,3.8732,443.9127,2.4744,16.5898,0.9783,36.9
1.26,0.0628,98.1354,71.8765,111.4541,74.2101,5.8241,4.0364,506.7879,2.4448,16.187,0.9791,36.9
1.32,0.0723,94.9572,72.6991,111.0581,71.6881,5.6807,3.9509,376.2759,2.4372,16.4552,0.9736,36.9
