Time(s),CTSresistance,MeanArterialPressure(mmHg),HeartRate(1/min),SystolicArterialPressure(mmHg),DiastolicArterialPressure(mmHg),CardiacOutput(L/min),CentralVenousPressure(mmHg),TidalVolume(mL),TotalLungVolume(L),RespirationRate(1/min),OxygenSaturation,CoreTemperature(degC)
0.06,0.1,93.6081,50.2154,109.9955,72.8258,4.089,4.0273,571.9763,2.5713,12.4747,0.976,37.0
0.12,0.1046,94.5787,50.7036,113.0424,73.6305,4.048,3.8904,675.2066,2.5123,12.7006,0.9756,37.0
0.16,0.1182,97.263,50.8705,113.1085,73.49,4.2389,3.9775,603.1815,2.603,13.0394,0.977,37.0
0.22,0.1047,93.3443,49.774,111.4671,73.0092,4.0968,4.0098,620.6394,2.555,12.2454,0.9786,37.0
0.26,0.1079,94.7479,49.7459,113.8612,72.1891,3.9643,3.9377,573.585,2.7528,12.5818,0.9761,37.0
0.32,0.0986,94.5369,48.1735,113.8942,74.7033,4.1603,3.9108,712.0867,2.6871,12.1388,0.9766,37.0
0.36,0.096,92.8758,49.3962,114.5382,73.4085,3.9828,4.3134,623.2787,2.4391,12.2992,0.9738,37.0
0.42,0.0948,95.5179,49.4314,113.6336,72.6921,4.2338,3.8486,606.8388,2.6896,12.248,0.9765,37.0
0.46,0.1041,94.3388,51.0338,111.1458,73.06,4.2028,4.1772,653.6797,2.6686,12.6628,0.9796,37.0
0.52,0.1045,95.5023,50.5948,112.1116,72.7037,4.1258,3.9544,589.1878,2.5902,12.4942,0.9789,37.0
0.56,0.1057,94.8451,49.7656,114.3294,71.6143,3.975,4.0085,609.5072,2.6737,11.6646,0.9765,37.0
0.62,0.1144,97.3276,49.2155,112.8693,74.4264,3.9653,4.0376,611.8313,2.5453,12.6221,0.9778,37.0
0.66,0.1077,96.365,49.9199,110.6819,73.7914,4.071,3.9377,640.7759,2.5935,12.3526,0.9764,37.0
0.72,0.1004,93.4243,51.6099,110.9589,72.0189,4.1581,4.0871,608.1816,2.5023,12.2382,0.9772,37.0
0.76,0.0922,95.151,50.6333,114.356,73.7021,3.9588,3.9825,706.5025,2.5424,12.5577,0.9758,37.0
0.82,0.1067,93.641,50.4175,116.2117,73.082,4.1887,4.2202,603.803,2.5805,12.3429,0.9762,37.0
0.86,0.107,96.4375,49.6165,112.742,73.3892,3.9356,4.0527,686.4883,2.5361,12.0685,0.9775,37.0
0.92,0.1091,94.6731,50.1421,111.7347,72.5482,4.1018,4.1109,649.2303,2.6216,12.4995,0.9765,37.0
0.96,0.1003,95.5105,50.1767,111.9258,73.5618,4.0282,4.1508,685.7162,2.5465,12.9293,0.9786,37.0
1.02,0.1086,95.2173,51.8419,112.789,72.7546,4.0625,3.9097,695.7301,2.736,12.7448,0.9764,37.0
1.06,0.1014,96.28,51.8685,113.3758,72.0539,3.9854,4.3978,621.3296,2.5907,11.9153,0.9751,37.0
1.12,0.0916,93.6886,47.2722,112.1198,71.8098,4.1002,4.0482,631.7141,2.4848,12.357,0.9785,37.0
1.16,0.0977,94.5236,50.4765,111.9416,73.6562,4.0339,4.2081,650.6592,2.5135,12.4153,0.9758,37.0
1.22,0.1127,93.3159,48.3317,116.3946,72.1489,4.0707,3.8667,617.034,2.4872,12.5987,0.9775,37.0
1.26,0.1107,95.4166,50.6008,116.0201,74.1178,4.134,3.9313,678.7373,2.6701,11.8098,0.9781,37.0
1.32,0.1006,94.7634,51.4969,108.2403,71.4152,3.8625,3.8719,594.1984,2.6292,12.1369,0.9763,37.0
1.36,0.1019,94.6509,48.4499,112.4569,73.8004,4.1694,4.0572,628.5001,2.5337,12.0414,0.9792,37.0
