Time(s),CTSresistance,MeanArterialPressure(mmHg),HeartRate(1/min),SystolicArterialPressure(mmHg),DiastolicArterialPressure(mmHg),CardiacOutput(L/min),CentralVenousPressure(mmHg),TidalVolume(mL),TotalLungVolume(L),RespirationRate(1/min),OxygenSaturation,CoreTemperature(degC)
0.06,0.0771,96.1627,63.3566,124.0435,74.8174,5.1686,3.2534,517.9813,2.3589,16.9753,0.9835,36.9
0.12,0.0519,93.4233,69.5869,106.964,78.6898,5.4233,3.8929,478.4598,2.2486,16.8601,0.9742,36.9
0.16,0.0874,98.8271,72.9468,119.837,80.8929,5.4368,4.2007,519.2234,3.1188,17.0866,0.967,36.9
0.22,0.0634,88.8404,64.6361,104.9414,72.4832,5.5726,4.1546,715.9892,2.7133,16.8711,0.98,36.9
0.26,0.0532,89.0587,75.8181,121.31,71.602,5.051,3.9887,464.9618,2.8868,15.0341,0.9826,36.9
0.32,0.0782,96.6834,70.9366,122.7446,76.4991,5.7824,4.2625,793.4907,2.9821,16.4292,0.9764,36.9
0.36,0.0669,97.0683,64.0829,118.2495,72.0584,5.4959,3.4857,742.6289,2.9465,14.5415,0.9717,36.9
0.42,0.0514,103.1838,86.0717,114.5001,78.4725,6.0098,3.7907,354.0376,2.5968,15.2785,0.9746,36.9
0.46,0.0613,93.0984,77.9245,112.6019,74.559,5.8878,3.6209,434.2474,2.5421,15.631,0.9881,36.9
0.52,0.0482,95.0066,72.3725,124.7746,73.37,6.3805,3.7005,633.5558,2.6311,16.155,0.9819,36.9
0.56,0.0818,94.4069,70.5449,114.5243,70.3421,5.9243,3.6544,517.2034,2.9812,16.3876,0.9852,36.9
0.62,0.066,96.9974,76.0382,113.7289,79.4854,6.1745,3.9627,430.2306,2.9232,16.9176,0.9788,36.9
0.66,0.0829,89.0486,70.3571,107.0734,71.1847,5.8034,4.0475,610.5608,2.6197,17.7578,0.9862,36.9
0.72,0.0747,102.9581,65.5389,121.5197,77.1785,5.7806,4.0698,415.0121,3.0526,14.7989,0.979,36.9
0.76,0.06,99.8673,61.997,115.1395,75.0036,5.8847,3.6592,398.3146,2.5325,16.6723,0.9738,36.9
0.82,0.0416,97.0308,86.3615,118.4256,72.866,6.1351,3.9888,559.0407,2.8846,16.4046,0.9809,36.9
0.86,0.0825,99.6086,66.0053,114.5624,77.8259,6.0699,4.0391,576.6549,3.0176,14.9682,0.9732,36.9
0.92,0.0796,95.879,72.1019,106.8845,72.4746,5.3892,3.9073,653.3054,2.8049,14.2907,0.9847,36.9
0.96,0.0588,94.1437,75.5527,123.1034,73.6111,5.4329,3.996,297.0551,2.8912,15.1127,0.9789,36.9
1.02,0.0881,97.3351,67.2606,107.1154,72.6121,6.222,4.5497,695.9668,3.2174,16.4942,0.9945,36.9
1.06,0.0663,99.0135,64.8843,110.9798,80.6953,5.9886,4.3753,584.1251,3.3708,16.0287,0.9742,36.9
1.12,0.0585,92.4222,76.5799,112.4577,75.4558,6.4739,3.7895,842.4984,3.3503,15.3931,0.9874,36.9
1.16,0.076,95.4915,71.4987,108.7349,70.8797,5.508,4.0555,781.9591,2.9928,17.6694,0.9779,36.9
1.22,0.0504,96.616,68.68,117.1578,72.4087,6.0171,4.0149,363.35,2.9306,10.3823,0.9798,36.9
1.26,0.052,90.6674,80.7938,115.3912,78.1286,4.8358,3.7825,404.5571,3.1862,16.0034,0.9791,36.9
1.32,0.0831,101.5754,65.8773,116.2745,72.672,5.0484,4.2407,539.5093,2.9187,16.429,0.9818,36.9
1.36,0.0712,90.5628,68.0561,127.0742,75.7506,5.8146,4.0263,390.125,3.256,17.6026,0.9787,36.9
1.42,0.0957,94.941,82.2422,114.0405,72.5374,5.2673,4.5529,530.0555,3.0624,17.0818,0.9686,36.9
1.46,0.0671,97.6445,71.2034,108.1688,74.3837,5.8866,3.9523,360.3893,2.5902,16.7859,0.9718,36.9
1.52,0.0637,91.9725,80.7933,110.1055,73.4374,5.5751,3.5918,476.7907,2.8298,15.9474,0.9799,36.9
1.56,0.0557,90.2447,72.2652,118.4621,75.7769,5.972,3.8891,280.3788,2.7812,16.2332,0.9724,36.9
1.62,0.0801,95.9193,69.1911,110.4944,74.0512,5.6498,4.2215,535.6201,2.6066,15.1144,0.9777,36.9
1.66,0.046,93.742,68.0775,117.9802,72.3368,5.5195,3.7536,553.9418,2.899,15.7453,0.9846,36.9
1.72,0.0529,93.925,72.3672,115.1772,72.0328,6.1753,4.2,295.8733,2.8754,14.618,0.9761,36.9
1.76,0.0426,88.3564,60.9608,111.5611,75.6948,5.9033,3.9742,587.9607,2.7818,15.0693,0.982,36.9
1.82,0.0704,100.6265,64.0733,111.1171,74.6101,5.6934,4.0858,628.7826,2.7857,17.4991,0.9811,36.9
1.86,0.0764,93.3648,68.5763,113.2375,79.5937,5.7518,3.9084,501.3687,2.748,17.8531,0.9863,36.9
1.92,0.0642,92.2936,63.6481,115.8361,77.7759,5.9932,4.583,826.9014,2.5824,16.0572,0.9687,36.9
1.96,0.0634,100.586,76.8965,112.8853,78.2081,6.0595,3.6085,472.8117,2.4915,15.7182,0.9839,36.9
2.02,0.0644,99.2884,76.1792,109.1481,74.4506,5.8431,3.6173,470.3919,2.5857,16.991,0.9714,36.9
