Time(s),CTSresistance,MeanArterialPressure(mmHg),HeartRate(1/min),SystolicArterialPressure(mmHg),DiastolicArterialPressure(mmHg),CardiacOutput(L/min),CentralVenousPressure(mmHg),TidalVolume(mL),TotalLungVolume(L),RespirationRate(1/min),OxygenSaturation,CoreTemperature(degC)
0.06,0.0409,102.6004,97.26,123.6603,85.2009,8.4685,4.5964,597.088,2.7152,14.8063,0.9821,36.9
0.12,0.0399,102.0276,95.844,122.7758,82.4433,8.7575,4.393,433.3677,2.7676,14.3472,0.9744,36.9
0.16,0.0431,108.1943,114.6919,116.7482,81.12,9.838,3.611,529.6659,2.4189,14.4998,0.9742,36.9
0.22,0.0424,102.4546,107.6207,117.0678,80.2839,9.1612,4.2525,526.3688,2.5139,14.1507,0.9846,36.9
0.26,0.0448,106.773,96.3226,111.8083,79.6504,9.2483,4.192,542.2218,2.5285,13.9494,0.9754,36.9
0.32,0.0524,96.3974,104.9348,115.8926,80.4575,9.4958,4.0183,596.4179,2.5041,13.3273,0.9857,36.9
0.36,0.0353,100.8312,108.5548,122.3139,75.6897,9.3426,4.5168,491.7788,2.5973,15.434,0.9769,36.9
0.42,0.0383,107.1676,97.2784,124.2372,82.6021,8.2955,3.7555,372.1585,2.4932,14.0462,0.9809,36.9
0.46,0.0357,99.8253,124.921,123.9517,80.5963,8.6889,4.3838,440.6701,2.4074,13.3811,0.9797,36.9
0.52,0.0488,101.0234,107.6885,123.1829,78.0113,8.9816,4.0196,559.153,2.5258,14.5861,0.9811,36.9
0.56,0.0406,103.2667,105.0073,117.7575,81.3032,8.6113,4.0568,644.0812,2.6452,15.8669,0.9802,36.9
0.62,0.0426,101.1855,109.9797,116.3901,79.8148,8.5317,4.3576,500.5017,2.6512,13.6695,0.9799,36.9
0.66,0.0371,97.9796,107.2283,121.1189,78.5049,8.8536,3.9245,627.4344,2.5069,14.8779,0.9774,36.9
0.72,0.049,101.5049,109.5997,124.1957,78.5067,8.6983,3.1458,493.2734,2.7534,14.9744,0.9805,36.9
0.76,0.0458,98.1064,100.4537,110.9707,83.5545,9.211,3.8229,425.9161,2.6257,15.4023,0.9755,36.9
0.82,0.0346,104.8564,106.8655,126.2516,80.5086,8.9274,3.7989,432.661,2.5667,15.8358,0.9783,36.9
0.86,0.0508,100.776,100.2599,112.9815,81.3076,8.7349,3.9307,571.238,2.6912,13.9915,0.9833,36.9
0.92,0.0359,102.7835,103.9467,120.3544,83.3532,9.4138,4.2261,432.5786,2.3203,14.9556,0.9778,36.9
0.96,0.041,102.7828,94.9896,118.4036,80.9557,9.1207,4.0897,520.0785,2.7976,12.6721,0.9837,36.9
1.02,0.0353,102.4263,113.1698,130.3012,79.2723,8.5868,4.152,525.5071,2.9086,13.9859,0.9837,36.9
1.06,0.0434,98.5047,93.8363,121.7963,80.1629,9.3991,4.1536,588.237,2.929,16.01,0.9782,36.9
1.12,0.0307,102.7689,107.5093,128.7667,79.6578,9.2948,3.5147,598.4152,2.94,15.1374,0.9804,36.9
1.16,0.0352,102.2795,106.9814,109.9969,77.3337,9.0725,3.8937,587.5246,2.9646,14.8589,0.9811,36.9
