Time(s),CTSresistance,MeanArterialPressure(mmHg),HeartRate(1/min),SystolicArterialPressure(mmHg),DiastolicArterialPressure(mmHg),CardiacOutput(L/min),CentralVenousPressure(mmHg),TidalVolume(mL),TotalLungVolume(L),RespirationRate(1/min),OxygenSaturation,CoreTemperature(degC)
0.06,0.0647,95.1788,76.4708,114.7358,75.2294,5.7857,3.9888,715.9699,2.5906,12.4857,0.9787,36.9
0.12,0.0661,94.9544,70.8922,116.11,73.618,5.9351,3.9533,653.6801,2.6055,12.5336,0.9809,36.9
0.16,0.0692,95.7572,68.7797,111.2103,74.8945,5.8524,3.8868,594.2383,2.5486,12.8846,0.9806,36.9
0.22,0.0701,96.0522,72.7634,112.43,75.6927,5.7267,3.7781,657.4273,2.724,11.873,0.9786,36.9
0.26,0.0679,96.0159,73.2229,116.374,74.0512,5.6876,3.9693,709.0422,2.5828,11.8385,0.9764,36.9
0.32,0.0734,95.6859,70.2965,118.7774,73.2062,5.7487,3.8558,671.3576,2.7445,12.1653,0.9771,36.9
0.36,0.0686,96.6168,74.3067,114.8992,75.0119,5.7007,3.9574,650.537,2.6778,12.199,0.9772,36.9
0.42,0.0647,95.6603,71.2936,117.1476,75.3066,6.0828,3.8971,683.7487,2.7536,12.436,0.9806,36.9
0.46,0.0656,96.0356,70.2854,114.0327,74.65,5.8348,3.5479,569.2814,2.7463,12.609,0.9788,36.9
0.52,0.0611,93.5833,74.5902,114.2031,75.3761,5.9068,4.2104,597.0059,2.7689,12.391,0.9802,36.9
0.56,0.0643,95.3238,76.0391,117.1432,74.3895,5.9646,4.0363,731.4633,2.6366,12.3664,0.9797,36.9
0.62,0.0712,93.7035,73.2317,112.7501,73.9685,5.5472,4.0793,591.737,2.8696,12.61,0.9766,36.9
0.66,0.0717,95.1873,70.4721,116.0118,74.1811,5.9503,4.1961,645.9388,2.7755,12.384,0.9806,36.9
0.72,0.0678,95.1329,73.2049,117.3289,72.5606,5.6031,4.1288,652.7874,2.8505,12.1348,0.9781,36.9
0.76,0.0684,95.7414,73.5218,117.8963,74.9583,6.0441,3.7983,643.0165,2.8618,11.9818,0.9781,36.9
0.82,0.0631,97.5672,71.8119,117.8942,73.8229,5.8431,3.9494,603.2089,2.9868,12.2469,0.9782,36.9
0.86,0.068,96.7673,72.2,116.3313,74.6719,5.9888,3.7727,676.356,2.7855,12.5401,0.9788,36.9
0.92,0.0622,96.3333,71.4516,111.4182,74.4991,5.9321,3.8978,665.9825,2.9213,12.0134,0.9812,36.9
0.96,0.0614,96.0078,73.2761,114.9788,73.3364,5.6653,4.213,645.5734,2.9945,11.9607,0.9818,36.9
1.02,0.0691,94.7572,73.3329,115.038,74.4827,5.8654,4.0372,724.4791,3.02,12.1494,0.9792,36.9
1.06,0.0624,94.5401,69.2769,112.5833,74.254,5.8624,3.7265,509.5657,3.1303,12.4388,0.9793,36.9
1.12,0.0745,96.1743,71.6191,114.702,75.5829,5.7214,3.7816,697.5804,3.0932,12.0223,0.9774,36.9
