Time(s),CTSresistance,MeanArterialPressure(mmHg),HeartRate(1/min),SystolicArterialPressure(mmHg),DiastolicArterialPressure(mmHg),CardiacOutput(L/min),CentralVenousPressure(mmHg),TidalVolume(mL),TotalLungVolume(L),RespirationRate(1/min),OxygenSaturation,CoreTemperature(degC)
0.06,0.0557,91.7612,76.451,117.8757,76.2304,6.4852,4.5531,429.6464,2.5491,16.6263,0.9768,36.9
0.12,0.0598,92.2304,70.829,106.5471,72.8837,6.1033,3.3105,699.7503,2.497,18.9067,0.9764,36.9
0.16,0.0684,99.3436,65.2704,110.8262,72.6001,6.3449,4.1651,136.2124,2.5121,17.5282,0.9783,36.9
0.22,0.0674,91.5157,64.7347,113.2458,72.3524,6.8289,4.1567,400.2141,2.4489,14.174,0.9805,36.9
0.26,0.0713,94.4244,60.5948,113.5628,71.8967,5.9222,4.4562,446.9471,2.912,17.486,0.9765,36.9
0.32,0.0855,97.5628,72.0992,119.8262,73.0529,5.7169,4.4209,501.2455,2.6635,16.1977,0.9828,36.9
0.36,0.0434,97.1261,77.5277,123.342,76.0029,5.5328,4.0273,671.7775,2.7098,16.1963,0.9785,36.9
0.42,0.0757,102.3325,70.4345,112.6943,75.1541,5.5579,4.5321,794.0917,2.52,16.0334,0.9791,36.9
0.46,0.0517,101.5069,69.7318,115.8548,74.7257,5.9527,3.9493,373.2179,2.7047,18.3166,0.9705,36.9
0.52,0.0671,100.6238,78.0349,111.3297,72.4637,6.2916,3.3733,543.563,2.707,15.7053,0.9875,36.9
0.56,0.0539,100.5662,76.0309,112.1144,70.9221,5.3802,3.0773,450.6054,3.0915,14.4235,0.981,36.9
0.62,0.075,99.7159,66.4068,113.469,72.2464,4.891,3.4862,722.4873,3.035,15.3525,0.9811,36.9
0.66,0.0497,97.9858,71.7843,107.6458,77.1732,6.4031,4.3845,503.955,3.0599,17.3658,0.9788,36.9
0.72,0.0686,95.8383,69.0188,112.4451,75.1067,5.6346,3.6333,356.0502,2.8841,15.6153,0.9826,36.9
0.76,0.0767,91.244,78.1572,119.4213,71.5157,5.4968,3.3292,557.5446,3.0563,13.8641,0.9844,36.9
0.82,0.0564,94.6951,64.9562,112.9303,71.0418,6.0648,4.0096,570.4911,2.9816,15.5362,0.9709,36.9
0.86,0.0706,95.5749,71.767,117.8455,72.0456,5.6991,3.0314,554.9689,3.0618,17.9898,0.9818,36.9
0.92,0.0563,88.3527,79.7648,110.6595,75.9533,6.1468,4.6819,562.3177,3.0681,18.3744,0.9748,36.9
0.96,0.0799,88.6148,78.3616,97.1578,73.3408,5.9807,4.4148,445.7097,2.9503,16.3913,0.9744,36.9
1.02,0.0701,99.2231,77.6103,115.0856,73.8434,6.0131,3.9266,634.8781,2.9559,16.1163,0.9797,36.9
1.06,0.0571,93.3103,66.7679,103.1914,74.3848,5.8087,4.143,435.5931,2.8465,16.2533,0.988,36.9
1.12,0.0564,98.03,76.5069,112.8249,72.8599,5.4527,4.2472,456.1801,2.8903,16.9782,0.978,36.9
1.16,0.059,94.3865,75.9021,120.6691,77.1982,5.8614,3.5738,805.191,3.1836,17.1157,0.9856,36.9
1.22,0.0524,92.8724,71.3904,111.1358,75.081,5.791,4.4942,674.7273,3.2833,15.8121,0.9831,36.9
1.26,0.0518,99.876,75.0188,113.4107,74.9823,6.0932,4.4612,493.2705,3.2367,17.854,0.9791,36.9
1.32,0.0679,95.6771,73.6211,104.5631,74.3087,5.5917,4.3577,866.8317,3.2883,14.7814,0.9756,36.9
1.36,0.0823,92.6602,69.1763,116.7752,75.0495,5.7988,3.7629,517.411,3.192,14.0295,0.9834,36.9
1.42,0.0678,89.6875,76.522,119.3958,77.332,6.1245,3.9693,358.9045,2.9092,17.9733,0.9736,36.9
