Time(s),CTSresistance,MeanArterialPressure(mmHg),HeartRate(1/min),SystolicArterialPressure(mmHg),DiastolicArterialPressure(mmHg),CardiacOutput(L/min),CentralVenousPressure(mmHg),TidalVolume(mL),TotalLungVolume(L),RespirationRate(1/min),OxygenSaturation,CoreTemperature(degC)
0.06,0.0384,94.6366,105.6153,114.7013,75.1183,8.6439,3.8994,466.4537,2.8953,18.5899,0.9815,36.9
0.12,0.0396,96.4853,106.0876,114.8309,73.0587,8.8246,3.9725,314.1788,3.1538,19.6363,0.9791,36.9
0.16,0.0398,98.0241,106.4504,113.9615,74.1583,8.8226,4.0408,429.2783,3.0512,19.4473,0.9775,36.9
0.22,0.0415,93.1241,107.3188,115.9302,74.8479,8.6075,4.0692,487.8115,3.0775,19.282,0.9824,36.9
0.26,0.041,95.4196,107.0735,113.9885,74.2599,9.0431,3.9364,445.9383,2.9478,19.1395,0.9797,36.9
0.32,0.0422,96.2356,110.1032,112.3409,74.7251,8.9215,4.1584,440.4718,3.0239,19.3417,0.981,36.9
0.36,0.0422,95.8386,105.1125,114.1448,75.0561,8.6266,3.8844,346.6672,3.0506,18.9107,0.9803,36.9
0.42,0.0383,95.4433,108.3907,119.3094,76.2768,8.8573,3.8682,462.8553,2.9563,18.6568,0.9809,36.9
0.46,0.0375,94.4484,108.1862,113.3991,76.0339,8.7353,3.7547,378.033,2.8633,19.3172,0.978,36.9
0.52,0.0372,94.9344,106.1065,116.3455,74.8196,8.7821,3.855,390.0202,2.8806,19.8351,0.9816,36.9
0.56,0.0371,95.7572,108.9454,115.9718,74.4339,9.418,3.7405,414.8043,2.8714,19.0145,0.9798,36.9
0.62,0.0414,96.8587,109.3398,114.6143,74.4182,9.201,3.9919,452.8185,2.7687,19.5322,0.9807,36.9
0.66,0.0391,94.231,107.5099,114.6473,74.3043,8.9028,4.175,482.556,2.6476,18.8334,0.9814,36.9
0.72,0.0428,96.6355,110.5907,115.9149,75.3085,8.8946,4.1004,420.8207,2.7776,18.9077,0.979,36.9
0.76,0.0406,96.2618,106.5314,118.1342,74.5749,8.8448,3.7767,442.1184,2.7597,19.6878,0.981,36.9
0.82,0.038,96.3899,106.9354,114.3866,73.6136,8.5719,4.0477,368.0469,2.6832,19.228,0.9801,36.9
0.86,0.0414,95.5793,107.0905,115.8941,74.0037,9.1293,3.9564,387.0269,2.5795,19.4457,0.9792,36.9
0.92,0.0433,96.9816,109.9203,115.2319,74.7348,8.4069,4.0491,465.7147,2.5917,18.7583,0.9812,36.9
0.96,0.0412,95.9757,109.6457,115.0037,74.4999,8.6814,3.9856,338.6274,2.6078,19.0681,0.9794,36.9
1.02,0.038,96.2242,112.2915,112.2668,75.1523,8.6204,3.6844,445.8077,2.5758,19.5567,0.9795,36.9
1.06,0.0399,96.4215,105.292,113.3227,75.0732,8.1986,3.7433,447.7897,2.5186,18.4229,0.9769,36.9
1.12,0.0393,96.2481,107.9051,114.5557,74.3251,8.9928,3.699,408.6148,2.6018,19.3498,0.9805,36.9
1.16,0.0372,94.8303,108.2473,112.9211,74.8272,8.8481,3.8477,393.0422,2.6394,18.844,0.9784,36.9
1.22,0.0415,96.8122,109.732,114.1538,72.5082,8.8244,3.8635,475.4083,2.5877,19.8797,0.9798,36.9
1.26,0.0388,96.6771,111.485,113.6236,75.4056,8.6717,4.0153,492.5446,2.5661,18.765,0.9791,36.9
1.32,0.0377,95.6473,108.8512,115.9399,74.3328,8.3377,3.9455,497.1561,2.5644,19.1274,0.9808,36.9
1.36,0.0389,98.2382,107.1192,111.3169,74.4193,8.8541,4.0012,411.2469,2.6679,18.3603,0.9801,36.9
1.42,0.0407,94.0387,108.3659,112.4352,74.4484,8.8962,4.0933,435.1479,2.5727,18.6657,0.9807,36.9
1.46,0.0345,96.1185,109.4677,114.4972,75.5371,8.5277,3.8279,427.1499,2.5864,19.1411,0.9789,36.9
1.52,0.043,96.4906,104.4979,113.5568,74.581,8.8125,4.1929,425.61,2.6548,19.3413,0.978,36.9
1.56,0.0424,94.9431,110.8934,114.2251,74.9916,8.904,3.8563,453.5421,2.6127,19.1596,0.9775,36.9
1.62,0.0376,95.3861,112.3021,115.5776,74.3794,8.1296,3.8572,349.8276,2.5183,19.5927,0.9793,36.9
1.66,0.0401,95.9683,108.87,114.2346,73.5525,8.8506,3.7641,445.9722,2.4834,18.1316,0.9817,36.9
1.72,0.036,95.7585,107.6545,112.1844,74.3038,8.7388,4.1168,502.8665,2.658,19.0496,0.9802,36.9
1.76,0.038,97.3051,109.0113,114.5792,74.3117,8.4544,3.8144,503.4378,2.6426,19.3234,0.9796,36.9
1.82,0.041,96.9754,109.687,114.6604,73.6046,8.9314,4.0543,406.1146,2.6237,19.0964,0.9826,36.9
1.86,0.0386,94.3469,107.6042,116.746,74.2374,8.5986,3.7992,386.667,2.5953,19.4744,0.9787,36.9
1.92,0.0412,96.1151,113.9987,113.5641,74.5558,8.8576,3.8577,461.5581,2.4944,19.2303,0.9803,36.9
1.96,0.0382,96.5283,109.7162,118.036,75.5365,8.5746,4.2341,367.9743,2.5276,19.2854,0.981,36.9
