Time(s),CTSresistance,MeanArterialPressure(mmHg),HeartRate(1/min),SystolicArterialPressure(mmHg),DiastolicArterialPressure(mmHg),CardiacOutput(L/min),CentralVenousPressure(mmHg),TidalVolume(mL),TotalLungVolume(L),RespirationRate(1/min),OxygenSaturation,CoreTemperature(degC)
0.06,0.0589,98.8414,69.7293,115.3959,73.9282,5.6018,3.7918,351.5829,2.3573,15.8775,0.9814,36.8
0.12,0.071,93.489,72.6775,115.2336,73.7259,5.5034,4.2136,347.7699,2.4388,16.9832,0.9826,36.8
0.16,0.0764,99.1692,71.8782,106.6124,75.3032,5.6705,4.218,463.3121,2.5229,16.0717,0.9774,36.8
0.22,0.0699,94.6126,70.9695,113.5755,73.5636,5.3321,3.5316,438.3503,2.4255,15.4667,0.9758,36.8
0.26,0.0717,93.7963,70.6533,113.7586,68.4917,5.2392,3.9208,291.502,2.5014,16.5971,0.9812,36.8
0.32,0.0718,95.873,72.8902,111.1013,71.4868,5.6658,3.9057,351.9822,2.8088,16.0791,0.9806,36.8
0.36,0.0742,93.8781,71.5095,110.5216,71.5776,5.0776,4.046,418.19,2.5601,16.6376,0.9863,36.8
0.42,0.0783,92.6035,75.2202,111.2703,73.3977,5.6838,3.5739,526.4574,2.4336,16.3076,0.9833,36.8
0.46,0.0874,91.7105,71.9136,109.0698,75.1697,5.5929,3.7122,410.5752,2.3553,16.5697,0.9769,36.8
0.52,0.0729,87.1516,73.4248,115.5161,72.8523,5.8263,4.1763,503.7996,2.4865,15.5704,0.9795,36.8
0.56,0.0638,93.4191,72.8857,115.5635,70.3135,5.4325,3.8885,468.2318,2.7672,15.8793,0.9808,36.8
0.62,0.068,97.8049,68.3573,112.7572,73.6931,6.023,4.2191,343.5956,2.6837,14.2322,0.9759,36.8
0.66,0.0755,99.5154,70.9558,118.2998,73.318,5.7382,4.2228,448.4721,2.6942,16.7151,0.9859,36.8
0.72,0.0653,91.4405,70.7849,110.9171,75.3918,5.9404,4.0849,348.7933,2.6598,15.6363,0.9841,36.8
0.76,0.0535,91.7753,76.1422,115.9846,72.0623,5.3447,3.8792,448.1085,2.5034,15.6663,0.981,36.8
0.82,0.0692,99.3705,72.0481,109.4625,71.487,5.6628,3.7247,447.4485,2.4757,15.9694,0.9769,36.8
0.86,0.0682,93.5106,75.4558,111.501,74.3075,5.5891,3.7981,425.5325,2.6829,16.2797,0.9742,36.8
0.92,0.0676,92.7266,68.7908,103.8335,76.7914,6.1278,3.8308,483.7844,2.6008,17.1667,0.9752,36.8
0.96,0.066,95.028,70.4795,112.3252,76.534,5.8461,3.9281,514.401,2.46,16.0891,0.9821,36.8
1.02,0.0629,95.0879,68.6698,110.762,74.5317,5.5671,3.9658,496.3859,2.5025,16.11,0.9823,36.8
1.06,0.081,95.957,69.5828,113.8055,77.9116,5.5928,4.4065,372.1155,2.5868,16.8772,0.9802,36.8
1.12,0.0647,93.6029,65.5112,115.7864,74.8761,5.9619,3.3745,248.9073,2.4844,16.6088,0.984,36.8
1.16,0.0723,92.5381,71.7813,116.1285,72.5054,5.7919,3.3307,426.5495,2.4094,15.7002,0.9759,36.8
1.22,0.0833,98.0857,74.6525,124.4873,72.669,5.8572,3.7488,502.4389,2.3381,14.1158,0.9775,36.8
1.26,0.061,97.8524,77.7615,112.457,72.5828,6.1665,3.8743,348.3581,2.2724,16.6618,0.9839,36.8
1.32,0.0717,88.4055,81.9398,111.9428,73.2899,5.9329,4.0061,448.1579,2.4337,15.3917,0.9824,36.8
1.36,0.065,94.3236,74.7033,106.9622,72.428,6.062,4.093,442.0787,2.4313,16.4554,0.9759,36.8
1.42,0.0691,94.5019,69.1083,112.9122,76.8402,5.828,4.089,515.6541,2.3679,16.0705,0.9819,36.8
1.46,0.0817,96.8052,68.5088,117.3287,74.9489,5.6372,3.7244,515.5184,2.3891,15.1798,0.9773,36.8
1.52,0.0581,88.1751,65.6779,116.3585,75.2427,5.4753,3.8885,431.4911,2.2733,15.2808,0.9857,36.8
1.56,0.0737,94.9528,65.7013,109.3155,75.38,5.8895,3.5345,409.646,2.2382,15.3878,0.9778,36.8
1.62,0.0656,94.1314,74.4256,112.5215,76.2123,5.5927,3.7065,487.4161,2.1479,15.8132,0.9745,36.8
1.66,0.0686,96.7106,70.2455,112.6981,74.206,5.8113,3.4438,327.8476,2.2364,17.4874,0.9753,36.8
1.72,0.0717,98.6729,75.8159,115.2304,77.1326,5.8109,3.7225,362.0628,2.2253,16.5493,0.979,36.8
1.76,0.0846,96.3825,74.2061,113.8073,74.8762,5.7984,3.8385,447.1295,2.1539,14.3314,0.9738,36.8
1.82,0.0798,96.7368,69.6757,105.2521,71.6164,5.5811,3.8326,366.6107,2.1317,16.5457,0.9803,36.8
1.86,0.0863,93.6481,69.7365,110.1045,75.3266,5.5853,4.3814,448.7735,2.2408,17.8493,0.9806,36.8
1.92,0.0682,93.8909,73.786,112.4197,72.2544,5.4211,3.4968,320.2421,2.3654,16.1823,0.9885,36.8
1.96,0.083,96.1626,71.5174,117.0465,75.6556,5.7563,3.713,272.5012,2.1727,16.4956,0.9785,36.8
2.02,0.0806,88.8733,78.6961,110.4558,74.2831,5.641,4.3933,539.1186,2.1551,16.2587,0.9826,36.8
2.06,0.0649,96.6906,69.8316,111.3404,71.2775,5.4209,4.0672,424.5751,2.3845,16.1501,0.9793,36.8
2.12,0.061,95.9859,69.8252,110.2902,75.9665,5.656,3.6391,506.2271,2.1307,16.2973,0.9844,36.8
2.16,0.0733,96.8698,70.913,114.2428,66.4147,6.1094,4.0393,299.678,2.0959,15.9395,0.9808,36.8
2.22,0.0606,92.7273,70.0834,112.7083,75.5822,5.6723,3.9172,332.4398,2.0782,14.9463,0.9785,36.8
2.26,0.0642,94.0726,76.106,111.6139,75.4495,5.7431,4.2981,385.3496,2.2015,15.6527,0.9825,36.8
2.32,0.0707,92.8131,75.6655,117.947,70.155,5.6193,3.4657,402.1646,2.1081,15.7173,0.9792,36.8
2.36,0.0667,95.8677,72.4633,115.3517,73.314,5.5452,3.8746,438.8895,2.2259,14.6705,0.9785,36.8
2.42,0.0754,94.5029,67.7094,111.3811,70.2095,5.5931,4.2205,556.3562,2.3214,15.5805,0.9813,36.8
2.46,0.0748,92.0592,67.7194,111.7047,75.2599,5.5317,4.7976,526.3354,2.1166,17.0468,0.9857,36.8
2.52,0.0659,96.873,75.0489,114.4373,72.1772,5.8894,3.756,332.9564,2.2735,16.2428,0.9841,36.8
2.56,0.0568,97.9021,74.2855,114.3959,73.5597,5.542,4.1126,390.2505,2.1622,14.6203,0.9799,36.8
2.62,0.0684,97.943,75.6107,113.0156,73.4765,5.7735,3.6822,347.6896,2.2402,16.9358,0.9828,36.8
2.66,0.0721,96.6867,71.1836,112.1037,71.3403,5.4909,3.9587,506.3665,2.1015,15.6696,0.9878,36.8
2.72,0.0755,94.2666,75.0332,117.2777,71.1408,5.9966,3.8127,431.8303,2.1667,16.5355,0.9851,36.8
2.76,0.0738,96.9903,73.939,110.274,70.4731,5.8398,4.077,558.7451,2.2259,16.1817,0.9776,36.8
2.82,0.0732,94.0728,71.6304,112.8217,76.4175,5.5932,4.5007,423.8185,2.1595,16.7946,0.9838,36.8
2.86,0.0739,97.1718,72.4622,115.8221,77.9163,5.6184,3.5143,326.6779,2.0762,16.4309,0.9818,36.8
2.92,0.0834,96.1061,75.0012,112.1754,76.5961,5.476,3.6309,415.819,2.1349,15.1506,0.9859,36.8
2.96,0.0746,100.4904,74.013,110.131,71.7533,5.6843,3.7075,414.7699,2.2421,16.0143,0.9812,36.8
3.02,0.0699,95.3316,70.6168,114.7696,72.8188,5.8477,3.8846,461.7129,2.2381,14.7106,0.9808,36.8
3.06,0.0726,95.2113,73.8807,120.1462,75.0424,5.4776,4.1785,453.4508,2.1912,15.9778,0.9809,36.8
3.12,0.0609,94.3305,77.3294,103.7598,74.6299,6.0702,3.9512,377.2597,2.2125,16.6089,0.9774,36.8
3.16,0.0609,90.6516,73.8716,114.6418,79.3279,5.4004,4.3252,396.628,2.2858,15.6204,0.9826,36.8
3.22,0.0669,93.8333,76.9987,115.078,72.9081,5.8484,3.8368,444.0387,2.2068,16.3716,0.9792,36.8
3.26,0.0719,90.6279,72.8242,108.781,76.6304,5.8604,4.2464,460.299,2.0967,15.3526,0.9791,36.8
3.32,0.0681,96.6242,68.6827,113.2738,73.0953,5.7551,3.9846,491.9371,2.2405,15.9278,0.985,36.8
3.36,0.0556,92.6225,72.1487,119.7347,72.7106,5.4151,4.246,440.1181,2.2369,15.9208,0.9789,36.8
3.42,0.0737,92.2207,74.4058,112.0405,74.6034,5.4888,4.1219,463.3277,2.5365,15.5536,0.9783,36.8
3.46,0.0741,97.6731,72.7583,111.7159,72.3689,5.7538,3.7284,455.2483,2.418,15.6528,0.9823,36.8
3.52,0.0829,94.3968,74.7429,112.7791,75.9424,6.0079,3.7248,388.5781,2.3265,17.0115,0.9784,36.8
3.56,0.0762,94.3367,75.0881,112.4118,74.372,5.8927,3.6189,504.6954,2.1708,14.9038,0.9823,36.8
3.62,0.0691,91.6748,71.7547,119.7028,77.5159,5.4689,4.2403,391.3112,2.3591,16.4541,0.9847,36.8
3.66,0.0637,93.8741,68.5818,117.9302,74.9705,5.8476,3.2352,508.2493,2.2988,17.3457,0.9805,36.8
3.72,0.0698,93.301,70.3269,110.6836,72.0336,5.6832,3.9734,437.4217,2.3885,16.5686,0.9845,36.8
3.76,0.0767,94.8419,66.6734,108.843,75.9184,5.9006,3.8377,443.1147,2.2854,16.2459,0.9775,36.8
