Time(s),CTSresistance,MeanArterialPressure(mmHg),HeartRate(1/min),SystolicArterialPressure(mmHg),DiastolicArterialPressure(mmHg),CardiacOutput(L/min),CentralVenousPressure(mmHg),TidalVolume(mL),TotalLungVolume(L),RespirationRate(1/min),OxygenSaturation,CoreTemperature(degC)
0.06,0.0734,97.8941,70.7495,115.4219,75.0773,5.9715,3.8401,502.8411,2.6767,16.5657,0.9812,36.9
0.12,0.0678,95.4748,72.5293,114.8762,75.8574,5.8468,4.1121,488.9327,2.6786,15.8372,0.9812,36.9
0.16,0.0662,96.6916,71.0148,113.2979,73.8157,5.8191,3.8148,476.9598,2.7382,16.9627,0.9805,36.9
0.22,0.0652,95.8367,70.8763,111.5257,73.3599,5.9259,3.8704,514.0874,2.768,15.5459,0.9807,36.9
0.26,0.0688,95.6835,70.7826,116.2378,74.6366,5.7248,3.9558,521.0034,2.6838,15.5715,0.9776,36.9
0.32,0.0664,95.6195,69.7468,113.5563,75.0761,5.8378,4.0678,456.6032,2.7452,15.9636,0.9764,36.9
0.36,0.0647,97.1022,73.2821,116.7022,74.1957,5.7221,3.8673,493.4049,2.7784,15.9074,0.9775,36.9
0.42,0.0646,95.3359,66.8457,113.9103,73.8416,5.9581,3.9607,499.8337,2.7008,15.5441,0.9822,36.9
0.46,0.0693,94.4372,72.8961,115.8329,74.5081,5.6449,3.8197,440.9015,2.8374,16.3028,0.9769,36.9
0.52,0.0646,94.252,74.0229,113.2401,74.0266,5.7781,4.1605,455.606,2.8916,16.0464,0.9793,36.9
0.56,0.0648,94.8855,71.3597,114.192,73.2947,5.8389,4.021,487.7229,2.9657,16.3556,0.9778,36.9
0.62,0.0682,98.0226,75.0329,114.4264,73.3172,5.6511,4.1277,470.839,2.9869,16.2547,0.9802,36.9
0.66,0.0668,95.8648,73.4855,115.0143,74.8174,5.7331,3.9546,502.6488,2.8476,16.3519,0.9791,36.9
0.72,0.0648,93.3174,72.1711,114.053,75.1504,5.9154,3.7727,569.0595,2.9219,16.3117,0.9762,36.9
0.76,0.0736,95.1278,71.5447,112.5197,74.6079,6.0207,4.0434,457.819,3.108,15.5662,0.9759,36.9
0.82,0.0721,97.5004,76.0912,117.5366,76.109,5.7645,3.8922,517.4178,2.9452,15.6455,0.9784,36.9
0.86,0.0653,96.0621,69.8798,117.5235,75.8064,5.7848,4.0333,509.5911,2.9722,15.2225,0.9769,36.9
0.92,0.0678,95.7569,68.161,114.6739,73.7064,5.7271,3.9481,492.7739,3.0546,15.8697,0.9786,36.9
0.96,0.0608,95.9058,73.0437,114.8399,74.9598,5.732,3.9154,466.6493,3.1053,16.3028,0.9803,36.9
1.02,0.0607,94.8354,70.9725,114.6519,75.6227,5.7307,4.1091,601.5155,3.0536,16.0801,0.9797,36.9
1.06,0.0622,97.7066,70.6024,115.5834,73.8502,5.7283,4.0123,533.29,3.1243,15.733,0.9825,36.9
1.12,0.0699,97.1321,69.2834,118.1959,75.3451,5.8628,3.8599,463.2215,3.0897,15.5886,0.9783,36.9
1.16,0.0677,94.0243,73.4814,115.625,76.0144,5.7381,4.0947,539.0963,3.1013,15.8177,0.9814,36.9
1.22,0.0701,94.7182,71.3961,111.7883,73.538,5.779,3.8028,571.3881,3.0523,16.0988,0.9821,36.9
1.26,0.0613,98.7246,66.9671,114.6784,70.936,5.8698,4.0954,435.6042,3.0699,15.4708,0.9809,36.9
1.32,0.0709,96.4035,71.3843,111.8805,74.2534,5.6282,3.8603,511.9808,3.0191,15.9667,0.9783,36.9
1.36,0.0733,95.5274,72.3352,118.4075,74.0214,5.7121,3.8504,550.2289,2.9622,16.1197,0.979,36.9
1.42,0.0644,95.4054,73.1665,113.1349,75.2055,5.8702,3.76,506.1828,2.8741,15.6803,0.9779,36.9
1.46,0.0643,93.9219,71.4691,116.5395,73.9679,5.5427,3.8773,577.9444,2.9061,16.25,0.979,36.9
1.52,0.0688,94.7961,70.1459,116.7292,74.4455,5.8433,3.9287,480.8615,2.8523,15.1408,0.9789,36.9
1.56,0.0657,96.6679,73.8361,118.2644,73.5574,5.8731,3.9862,481.2508,2.8433,15.4133,0.9787,36.9
1.62,0.0677,97.2111,71.7494,114.3262,76.3729,5.8291,4.0235,521.3545,2.7341,16.4171,0.9769,36.9
1.66,0.066,95.5497,71.161,113.274,74.0227,5.9636,3.9589,518.6334,2.7003,16.3527,0.9812,36.9
1.72,0.0639,94.1299,74.9346,113.5621,75.5551,5.7966,4.2135,546.919,2.681,15.7094,0.9784,36.9
1.76,0.066,95.8703,72.0802,114.3769,73.7172,5.9398,3.9108,512.5843,2.7278,15.1004,0.9771,36.9
1.82,0.0681,96.2679,73.604,113.917,71.8802,5.7586,4.1762,425.9016,2.6548,15.6093,0.9754,36.9
1.86,0.0667,96.1468,74.38,114.4663,74.1906,5.5942,4.2069,488.6402,2.6254,15.919,0.9767,36.9
1.92,0.0672,96.4884,74.23,116.8638,74.6387,5.86,4.0137,523.6061,2.7667,15.8996,0.9771,36.9
1.96,0.0622,96.6152,73.2766,116.2821,74.2178,5.8338,3.8158,553.5013,2.619,15.8461,0.9808,36.9
2.02,0.0613,95.1965,69.5372,119.2946,75.7444,5.8805,3.657,557.0674,2.5559,16.1272,0.9822,36.9
2.06,0.0656,95.1634,74.552,116.4112,75.1481,5.7381,3.9109,522.9753,2.4654,15.9897,0.9791,36.9
2.12,0.0772,95.5866,75.1554,116.3293,74.2151,5.952,3.9386,546.8046,2.6521,15.2907,0.9802,36.9
2.16,0.0619,95.2962,72.904,116.3784,75.3802,5.6954,4.0547,474.1294,2.5569,16.1415,0.9811,36.9
2.22,0.0631,94.9057,74.5553,118.0837,74.4692,5.7317,3.9623,460.5393,2.5721,15.52,0.9783,36.9
2.26,0.0639,97.4048,70.9021,117.5388,75.3753,5.9803,4.0277,486.6796,2.4971,16.0315,0.9807,36.9
2.32,0.0709,95.993,71.8656,116.5533,75.3679,5.7418,3.9853,539.0217,2.5503,14.8851,0.9774,36.9
2.36,0.0608,98.546,71.071,113.4001,74.775,5.7685,4.0811,497.6886,2.5823,16.0684,0.9817,36.9
2.42,0.0687,95.5173,76.5925,112.9017,73.5643,5.6486,3.9258,468.3088,2.5469,16.8092,0.9774,36.9
2.46,0.0641,93.7213,75.8714,115.3527,75.1529,5.8855,4.0324,511.4433,2.6511,15.8992,0.9793,36.9
2.52,0.0674,95.2054,70.6969,113.4932,75.6014,5.7594,4.1314,501.6286,2.5747,15.4505,0.9758,36.9
2.56,0.0647,97.2344,72.691,114.0921,74.2559,5.9105,3.8145,471.5343,2.6232,16.5701,0.9773,36.9
2.62,0.0719,94.3469,73.6325,118.0183,74.6339,5.6723,3.9341,458.1053,2.5897,15.8366,0.9779,36.9
2.66,0.0691,96.5269,71.6079,115.0895,74.002,5.9102,3.8507,593.0198,2.6086,16.0955,0.9774,36.9
2.72,0.0687,95.5045,70.7898,116.6763,74.6755,5.6752,3.6777,471.4441,2.5339,16.1001,0.9766,36.9
2.76,0.0668,96.3472,75.6187,117.1511,73.6846,5.5732,3.9804,418.8533,2.5679,16.0499,0.9783,36.9
2.82,0.0643,95.6002,73.3168,116.3045,75.0158,5.5897,4.1179,512.8031,2.4808,16.2038,0.9796,36.9
2.86,0.0666,94.5793,73.6817,110.1238,75.219,6.0012,3.8212,544.5343,2.5843,16.2859,0.9814,36.9
2.92,0.0692,95.2436,74.4772,115.3452,74.5615,5.991,4.0237,555.4426,2.656,16.8247,0.9787,36.9
2.96,0.0631,94.6234,69.9566,115.1508,74.1624,5.7444,4.1242,542.5714,2.4902,15.3399,0.9813,36.9
3.02,0.0651,95.2759,71.0746,116.4393,74.0023,6.0459,3.9221,431.8576,2.5419,15.4104,0.98,36.9
3.06,0.0713,96.3315,73.2878,116.7013,75.4566,5.7831,3.8318,488.6403,2.6108,15.869,0.9743,36.9
3.12,0.0661,96.1899,71.9446,112.5179,75.1586,5.8198,3.8799,552.0115,2.5726,15.7086,0.981,36.9
3.16,0.0638,94.4384,74.587,114.8119,74.4719,5.5027,4.0029,537.7022,2.5661,15.7921,0.9779,36.9
3.22,0.0615,96.4411,69.9468,114.6481,75.3722,5.9131,3.806,508.4183,2.7424,16.3152,0.979,36.9
3.26,0.0649,95.5582,71.5702,114.0661,73.5365,5.8666,3.8493,578.5929,2.5806,16.5266,0.9814,36.9
3.32,0.0667,94.4552,72.0794,115.118,74.6613,5.6668,3.9447,558.8196,2.5394,15.531,0.9761,36.9
3.36,0.068,94.8919,75.6489,118.206,73.6064,5.7074,3.7147,551.6443,2.6802,15.8991,0.9802,36.9
3.42,0.0593,97.0775,73.4728,114.641,75.2875,5.8888,3.9844,565.5655,2.5326,15.4004,0.9785,36.9
3.46,0.0659,98.9314,72.2522,113.202,72.6431,5.9305,4.2768,513.1593,2.5395,16.2005,0.9802,36.9
3.52,0.0626,95.4193,74.27,111.9376,72.1616,5.6388,3.8653,581.48,2.5291,15.3727,0.9777,36.9
3.56,0.0659,95.1096,72.891,113.8579,73.3502,5.8585,3.9073,511.1069,2.6552,15.7265,0.9805,36.9
3.62,0.0627,97.6151,70.7917,115.8255,75.2478,6.1235,3.8282,580.3632,2.5526,16.4903,0.9767,36.9
3.66,0.0662,94.8408,69.2881,111.4303,72.9489,5.9954,4.1175,451.9908,2.6275,15.6489,0.9805,36.9
3.72,0.0714,97.0415,69.3219,116.6023,75.3414,6.0766,3.9587,468.0538,2.6164,15.6233,0.976,36.9
3.76,0.066,96.0533,71.5737,116.7738,74.8083,5.892,3.8672,493.5351,2.594,15.9965,0.9817,36.9
3.82,0.076,95.7566,70.6471,113.0657,73.7244,6.0521,3.9335,518.1642,2.6258,15.1951,0.9778,36.9
3.86,0.0662,96.7517,74.5614,116.5502,74.1472,5.8609,3.8304,476.0321,2.5739,16.1503,0.9774,36.9
3.92,0.067,94.5949,72.4465,110.721,74.6252,5.9938,3.9863,560.4474,2.7486,15.9057,0.9796,36.9
3.96,0.0731,97.4197,69.9365,115.165,74.113,5.627,3.9233,384.8969,2.6796,15.8541,0.9769,36.9
4.02,0.0669,96.0358,71.5449,113.8661,75.4937,5.8584,3.8202,491.0988,2.6765,16.0003,0.9785,36.9
4.06,0.0688,97.4367,76.0509,116.6373,74.002,5.7791,3.7716,538.6236,2.69,16.4351,0.9788,36.9
4.12,0.0655,95.9191,72.1266,115.3553,74.3073,6.0624,3.8565,515.3065,2.7086,15.4389,0.9792,36.9
4.16,0.0613,95.0643,72.1074,115.9883,75.0492,5.8933,3.8197,471.4377,2.8659,16.2959,0.9794,36.9
4.22,0.0635,95.4397,70.7628,114.5759,74.153,5.6611,3.8393,559.2447,2.7562,16.0134,0.9792,36.9
4.26,0.0701,95.4456,71.5658,114.5107,74.4341,5.6888,3.9789,543.2218,2.8714,15.9791,0.9781,36.9
4.32,0.073,98.327,72.7049,116.4057,72.9017,5.9383,3.8408,501.3773,2.903,15.6819,0.9781,36.9
4.36,0.0664,94.5009,68.2526,117.6472,74.5424,5.8025,4.0012,524.9686,2.919,15.2248,0.981,36.9
