Time(s),CTSresistance,MeanArterialPressure(mmHg),HeartRate(1/min),SystolicArterialPressure(mmHg),DiastolicArterialPressure(mmHg),CardiacOutput(L/min),CentralVenousPressure(mmHg),TidalVolume(mL),TotalLungVolume(L),RespirationRate(1/min),OxygenSaturation,CoreTemperature(degC)
0.06,0.0675736,94.9,72,114,73.8,5.82,3.93,440.077,2.78,17.54,0.981,36.9
0.12,0.0675746,94.9,72,114,73.8,5.82,3.94,440.077,2.80,17.54,0.981,36.9
0.16,0.0675746,94.9,72,114,73.8,5.82,3.95,440.077,2.82,17.54,0.981,36.9
0.22,0.0675746,94.9,72,114,73.8,5.82,3.97,440.077,2.84,17.54,0.981,36.9
0.26,0.0675746,94.9,72,114,73.8,5.82,3.98,440.077,2.86,17.54,0.981,36.9
0.32,0.0675746,94.9,72,114,73.8,5.82,4.00,440.077,2.88,17.54,0.981,36.9
0.36,0.0675746,94.9,72,114,73.8,5.82,4.01,440.077,2.89,17.54,0.981,36.9
0.42,0.0675746,94.9,72,114,73.8,5.82,4.03,440.077,2.91,17.54,0.981,36.9
0.46,0.0675746,94.9,72,114,73.8,5.82,4.03,440.077,2.92,17.54,0.981,36.9
0.52,0.0675746,94.9,72,114,73.8,5.82,4.01,440.077,2.94,17.54,0.981,36.9
0.56,0.0675746,94.9,72,114,73.8,5.82,3.99,440.077,2.95,17.54,0.981,36.9
0.62,0.0675746,94.9,72,114,73.8,5.82,3.96,440.077,2.93,17.54,0.981,36.9
0.66,0.0675746,94.9,72,114,73.8,5.82,3.95,440.077,2.90,17.54,0.981,36.9
0.72,0.0675746,94.9,72,114,73.8,5.82,3.93,440.077,2.84,17.54,0.981,36.9
0.76,0.0675746,94.9,72,114,73.8,5.82,3.92,440.077,2.80,17.54,0.981,36.9
0.82,0.0675746,94.9,72,114,73.8,5.82,3.91,440.077,2.75,17.54,0.981,36.9
0.86,0.0675746,94.9,72,114,73.8,5.82,3.92,440.077,2.71,17.54,0.981,36.9
0.92,0.06758,94.9,72,114,73.8,5.82,3.93,440.077,2.67,17.54,0.981,36.9
0.96,0.06758,94.9,72,114,73.8,5.82,3.94,440.077,2.65,17.54,0.981,36.9
1.02,0.06758,94.9,72,114,73.8,5.82,3.96,440.077,2.61,17.54,0.981,36.9
1.06,0.06758,94.9,72,114,73.8,5.82,3.97,440.077,2.60,17.54,0.981,36.9
1.12,0.06758,94.9,72,114,73.8,5.82,3.99,440.077,2.58,17.54,0.981,36.9
1.16,0.06758,94.9,72,114,73.8,5.82,4.00,440.077,2.56,17.54,0.981,36.9
1.22,0.06758,94.9,72,114,73.8,5.82,4.02,440.077,2.55,17.54,0.981,36.9
1.26,0.06758,94.9,72,114,73.8,5.82,4.03,440.077,2.54,17.54,0.981,36.9
1.32,0.06758,94.9,72,114,73.8,5.82,4.02,440.077,2.53,17.54,0.981,36.9
1.36,0.06758,94.9,72,114,73.8,5.82,4.00,440.077,2.53,17.54,0.981,36.9
1.42,0.06758,94.9,72,114,73.8,5.82,3.98,440.077,2.52,17.54,0.981,36.9
1.46,0.06758,94.9,72,114,73.8,5.82,3.96,440.077,2.52,17.54,0.981,36.9
1.52,0.06758,94.9,72,114,73.8,5.82,3.94,440.077,2.52,17.54,0.981,36.9
1.56,0.06758,94.9,72,114,73.8,5.82,3.93,440.077,2.51,17.54,0.981,36.9
1.62,0.06758,94.9,72,114,73.8,5.82,3.92,440.077,2.51,17.54,0.981,36.9
1.66,0.06758,94.9,72,114,73.8,5.82,3.91,440.077,2.51,17.54,0.981,36.9
1.72,0.06758,94.9,72.3,114,73.9,5.83,3.92,440.077,2.51,17.54,0.981,36.9
1.76,0.0675804,94.9,72.3,114,73.9,5.83,3.93,440.077,2.51,17.54,0.981,36.9
1.82,0.0675804,94.9,72.3,114,73.9,5.83,3.95,440.077,2.51,17.54,0.981,36.9
1.86,0.0675804,94.9,72.3,114,73.9,5.83,3.96,440.077,2.51,17.54,0.981,36.9
1.92,0.0675804,94.9,72.3,114,73.9,5.83,3.97,440.077,2.51,17.54,0.981,36.9
1.96,0.0675804,94.9,72.3,114,73.9,5.83,3.99,440.077,2.51,17.54,0.981,36.9
2.02,0.0675804,94.9,72.3,114,73.9,5.83,4.00,440.077,2.51,17.54,0.981,36.9
2.06,0.0675804,94.9,72.3,114,73.9,5.83,4.02,440.077,2.51,17.54,0.981,36.9
2.12,0.0675804,94.9,72.3,114,73.9,5.83,4.03,440.077,2.51,17.54,0.981,36.9
2.16,0.0675804,94.9,72.3,114,73.9,5.83,4.02,440.077,2.51,17.54,0.981,36.9
2.22,0.0675804,94.9,72.3,114,73.9,5.83,3.99,440.077,2.51,17.54,0.981,36.9
2.26,0.0675804,94.9,72.3,114,73.9,5.83,3.98,440.077,2.51,17.54,0.981,36.9
2.32,0.0675804,94.9,72.3,114,73.9,5.83,3.95,440.077,2.51,17.54,0.981,36.9
2.36,0.0675804,94.9,72.3,114,73.9,5.83,3.94,440.077,2.51,17.54,0.981,36.9
2.42,0.0675804,94.9,72.3,114,73.9,5.83,3.93,440.077,2.51,17.54,0.981,36.9
2.46,0.0675804,94.9,72.3,114,73.9,5.83,3.92,440.077,2.51,17.54,0.981,36.9
2.52,0.0675804,94.9,72.3,114,73.9,5.83,3.91,440.077,2.51,17.54,0.981,36.9
2.56,0.0675804,94.9,72.3,114,73.8,5.84,3.92,440.077,2.51,17.54,0.981,36.9
2.62,0.0675808,94.9,72.3,114,73.8,5.84,3.93,440.077,2.51,17.54,0.981,36.9
2.66,0.0675808,94.9,72.3,114,73.8,5.84,3.95,440.077,2.51,17.54,0.981,36.9
2.72,0.0675808,94.9,72.3,114,73.8,5.84,3.96,440.077,2.51,17.54,0.981,36.9
2.76,0.0675808,94.9,72.3,114,73.8,5.84,3.97,440.077,2.51,17.54,0.981,36.9
2.82,0.0675808,94.9,72.3,114,73.8,5.84,3.99,440.077,2.51,17.54,0.981,36.9
2.86,0.0675808,94.9,72.3,114,73.8,5.84,4.00,440.068,2.51,17.54,0.981,36.9
2.92,0.0675808,94.9,72.3,114,73.8,5.84,4.02,440.068,2.52,17.54,0.981,36.9
2.96,0.0675808,94.9,72.3,114,73.8,5.84,4.03,440.068,2.53,17.54,0.981,36.9
3.02,0.0675808,94.9,72.3,114,73.8,5.84,4.01,440.068,2.56,17.54,0.981,36.9
3.06,0.0675808,94.9,72.3,114,73.8,5.84,3.99,440.068,2.58,17.54,0.981,36.9
3.12,0.0675808,94.9,72.3,114,73.8,5.84,3.97,440.068,2.60,17.54,0.981,36.9
3.16,0.0675808,94.9,72.3,114,73.8,5.84,3.95,440.068,2.62,17.54,0.981,36.9
3.22,0.0675808,94.9,72.3,114,73.8,5.84,3.94,440.068,2.65,17.54,0.981,36.9
3.26,0.0675808,94.9,72.3,114,73.8,5.84,3.93,440.068,2.67,17.54,0.981,36.9
3.32,0.0675808,94.9,72.3,114,73.8,5.84,3.92,440.068,2.70,17.54,0.981,36.9
3.36,0.0675808,94.9,72.3,114,73.8,5.84,3.91,440.068,2.72,17.54,0.981,36.9
3.42,0.0675808,94.9,72.2,114,73.8,5.84,3.92,440.068,2.75,17.54,0.981,36.9
3.46,0.0675723,94.9,72.2,114,73.8,5.84,3.93,440.068,2.77,17.54,0.981,36.9
3.52,0.0675723,94.9,72.2,114,73.8,5.84,3.95,440.068,2.79,17.54,0.981,36.9
3.56,0.0675723,94.9,72.2,114,73.8,5.84,3.96,440.068,2.81,17.54,0.981,36.9
3.62,0.0675723,94.9,72.2,114,73.8,5.84,3.98,440.068,2.83,17.54,0.981,36.9
3.66,0.0675723,94.9,72.2,114,73.8,5.84,3.99,440.068,2.85,17.54,0.981,36.9
3.72,0.0675723,94.9,72.2,114,73.8,5.84,4.01,440.068,2.87,17.54,0.981,36.9
3.76,0.0675723,94.9,72.2,114,73.8,5.84,4.02,440.068,2.88,17.54,0.981,36.9
3.82,0.0675723,94.9,72.2,114,73.8,5.84,4.03,440.068,2.90,17.54,0.981,36.9
3.86,0.0675723,94.9,72.2,114,73.8,5.84,4.01,440.068,2.92,17.54,0.981,36.9
3.92,0.0675723,94.9,72.2,114,73.8,5.84,3.98,440.068,2.93,17.54,0.981,36.9
3.96,0.0675723,94.9,72.2,114,73.8,5.84,3.97,440.068,2.94,17.54,0.981,36.9
4.02,0.0675723,94.9,72.2,114,73.8,5.84,3.95,440.068,2.94,17.54,0.981,36.9
4.06,0.0675723,94.9,72.2,114,73.8,5.84,3.94,440.068,2.91,17.54,0.981,36.9
4.12,0.0675723,94.9,72.2,114,73.8,5.84,3.92,440.068,2.86,17.54,0.981,36.9
4.16,0.0675723,94.9,72.2,114,73.8,5.84,3.92,440.068,2.82,17.54,0.981,36.9
4.22,0.0675723,94.9,72.2,114,73.8,5.84,3.92,440.068,2.76,17.54,0.981,36.9
4.26,0.0675723,94.9,72.3,114,73.8,5.84,3.92,440.068,2.73,17.54,0.981,36.9
4.32,0.0675662,94.9,72.3,114,73.8,5.84,3.94,440.068,2.68,17.54,0.981,36.9
4.36,0.0675662,94.9,72.3,114,73.8,5.84,3.95,440.068,2.66,17.54,0.981,36.9
4.42,0.0675662,94.9,72.3,114,73.8,5.84,3.97,440.068,2.62,17.54,0.981,36.9
4.46,0.0675662,94.9,72.3,114,73.8,5.84,3.98,440.068,2.60,17.54,0.981,36.9
