Time(s),CTSresistance,MeanArterialPressure(mmHg),HeartRate(1/min),SystolicArterialPressure(mmHg),DiastolicArterialPressure(mmHg),CardiacOutput(L/min),CentralVenousPressure(mmHg),TidalVolume(mL),TotalLungVolume(L),RespirationRate(1/min),OxygenSaturation,CoreTemperature(degC)
0.06,0.0668738,95.3,72,113,74.6,5.74,3.96,482.498,2.39,16.57,0.978,36.9
0.12,0.0668738,95.3,72,113,74.6,5.74,3.98,482.498,2.39,16.57,0.978,36.9
0.16,0.0668738,95.3,72,113,74.6,5.74,3.99,482.498,2.39,16.57,0.978,36.9
0.22,0.0668738,95.3,72,113,74.6,5.74,3.99,482.498,2.39,16.57,0.978,36.9
0.26,0.0668738,95.3,72,113,74.6,5.74,3.97,482.498,2.39,16.57,0.978,36.9
0.32,0.0668738,95.3,72,113,74.6,5.74,3.94,482.498,2.39,16.57,0.978,36.9
0.36,0.0668738,95.3,72,113,74.6,5.74,3.92,482.498,2.39,16.57,0.978,36.9
0.42,0.0668738,95.3,72,113,74.6,5.74,3.90,482.498,2.39,16.57,0.978,36.9
0.46,0.0668738,95.3,72,113,74.6,5.74,3.89,482.498,2.39,16.57,0.978,36.9
0.52,0.0668738,95.3,72,113,74.6,5.74,3.88,482.498,2.39,16.57,0.978,36.9
0.56,0.0668738,95.3,72,113,74.6,5.74,3.87,482.498,2.39,16.57,0.978,36.9
0.62,0.0668738,95.3,72,113,74.6,5.74,3.88,482.498,2.39,16.57,0.978,36.9
0.66,0.0668738,95.3,72,113,74.6,5.74,3.89,482.498,2.39,16.57,0.978,36.9
0.72,0.0668675,95.3,72,113,74.6,5.74,3.90,482.498,2.39,16.57,0.978,36.9
0.76,0.0668675,95.3,72,113,74.6,5.74,3.92,482.498,2.39,16.57,0.978,36.9
0.82,0.0668675,95.3,72,113,74.6,5.74,3.94,482.498,2.39,16.57,0.978,36.9
0.86,0.0668675,95.3,72,113,74.6,5.74,3.95,482.498,2.39,16.57,0.978,36.9
0.92,0.0668675,95.3,72,113,74.6,5.74,3.97,482.498,2.39,16.57,0.978,36.9
0.96,0.0668675,95.3,72,113,74.6,5.74,3.98,482.498,2.39,16.57,0.978,36.9
1.02,0.0668675,95.3,72,113,74.6,5.74,3.99,482.575,2.40,16.57,0.978,36.9
1.06,0.0668675,95.3,72,113,74.6,5.74,3.98,482.575,2.40,16.57,0.978,36.9
1.12,0.0668675,95.3,72,113,74.6,5.74,3.95,482.575,2.42,16.57,0.978,36.9
1.16,0.0668675,95.3,72,113,74.6,5.74,3.94,482.575,2.44,16.57,0.978,36.9
1.22,0.0668675,95.3,72,113,74.6,5.74,3.91,482.575,2.47,16.57,0.978,36.9
1.26,0.0668675,95.3,72,113,74.6,5.74,3.90,482.575,2.48,16.57,0.978,36.9
1.32,0.0668675,95.3,72,113,74.6,5.74,3.88,482.575,2.51,16.57,0.978,36.9
1.36,0.0668675,95.3,72,113,74.6,5.74,3.87,482.575,2.53,16.57,0.978,36.9
1.42,0.0668675,95.3,72,113,74.6,5.74,3.87,482.575,2.56,16.57,0.978,36.9
1.46,0.0668675,95.3,72,113,74.6,5.74,3.88,482.575,2.58,16.57,0.978,36.9
1.52,0.066879,95.3,72.4,113,74.5,5.77,3.89,482.575,2.61,16.57,0.978,36.9
1.56,0.066879,95.3,72.4,113,74.5,5.77,3.90,482.575,2.63,16.57,0.978,36.9
1.62,0.066879,95.3,72.4,113,74.5,5.77,3.92,482.575,2.66,16.57,0.978,36.9
1.66,0.066879,95.3,72.4,113,74.5,5.77,3.93,482.575,2.68,16.57,0.978,36.9
1.72,0.066879,95.3,72.4,113,74.5,5.77,3.95,482.575,2.70,16.57,0.978,36.9
1.76,0.066879,95.3,72.4,113,74.5,5.77,3.97,482.575,2.72,16.57,0.978,36.9
1.82,0.066879,95.3,72.4,113,74.5,5.77,3.98,482.575,2.74,16.57,0.978,36.9
1.86,0.066879,95.3,72.4,113,74.5,5.77,3.99,482.575,2.76,16.57,0.978,36.9
1.92,0.066879,95.3,72.4,113,74.5,5.77,3.97,482.575,2.78,16.57,0.978,36.9
1.96,0.066879,95.3,72.4,113,74.5,5.77,3.95,482.575,2.79,16.57,0.978,36.9
2.02,0.066879,95.3,72.4,113,74.5,5.77,3.93,482.575,2.81,16.57,0.978,36.9
2.06,0.066879,95.3,72.4,113,74.5,5.77,3.91,482.575,2.83,16.57,0.978,36.9
2.12,0.066879,95.3,72.4,113,74.5,5.77,3.89,482.575,2.84,16.57,0.978,36.9
2.16,0.066879,95.3,72.4,113,74.5,5.77,3.88,482.575,2.86,16.57,0.978,36.9
2.22,0.066879,95.3,72.4,113,74.5,5.77,3.87,482.575,2.87,16.57,0.978,36.9
2.26,0.066879,95.3,72.4,113,74.5,5.77,3.87,482.575,2.88,16.57,0.978,36.9
2.32,0.066879,95.3,72.4,113,74.5,5.77,3.88,482.575,2.87,16.57,0.978,36.9
2.36,0.0668982,95.3,72.4,113,74.5,5.77,3.89,482.575,2.84,16.57,0.978,36.9
2.42,0.0668982,95.3,72.4,113,74.5,5.77,3.91,482.575,2.78,16.57,0.978,36.9
2.46,0.0668982,95.3,72.4,113,74.5,5.77,3.92,482.575,2.73,16.57,0.978,36.9
2.52,0.0668982,95.3,72.4,113,74.5,5.77,3.94,482.575,2.67,16.57,0.978,36.9
2.56,0.0668982,95.3,72.4,113,74.5,5.77,3.95,482.575,2.63,16.57,0.978,36.9
2.62,0.0668982,95.3,72.4,113,74.5,5.77,3.97,482.575,2.58,16.57,0.978,36.9
2.66,0.0668982,95.3,72.4,113,74.5,5.77,3.98,482.575,2.56,16.57,0.978,36.9
2.72,0.0668982,95.3,72.4,113,74.5,5.77,3.99,482.575,2.52,16.57,0.978,36.9
2.76,0.0668982,95.3,72.4,113,74.5,5.77,3.97,482.575,2.50,16.57,0.978,36.9
2.82,0.0668982,95.3,72.4,113,74.5,5.77,3.94,482.575,2.47,16.57,0.978,36.9
2.86,0.0668982,95.3,72.4,113,74.5,5.77,3.92,482.575,2.46,16.57,0.978,36.9
2.92,0.0668982,95.3,72.4,113,74.5,5.77,3.90,482.575,2.45,16.57,0.978,36.9
2.96,0.0668982,95.3,72.4,113,74.5,5.77,3.89,482.575,2.44,16.57,0.978,36.9
3.02,0.0668982,95.3,72.4,113,74.5,5.77,3.88,482.575,2.43,16.57,0.978,36.9
3.06,0.0668982,95.3,72.4,113,74.5,5.77,3.87,482.575,2.42,16.57,0.978,36.9
3.12,0.0668982,95.3,72.4,113,74.5,5.77,3.87,482.575,2.41,16.57,0.978,36.9
3.16,0.0668982,95.3,72.4,113,74.5,5.78,3.88,482.575,2.41,16.57,0.978,36.9
3.22,0.0668866,95.3,72.4,113,74.5,5.78,3.90,482.575,2.41,16.57,0.978,36.9
3.26,0.0668866,95.3,72.4,113,74.5,5.78,3.91,482.575,2.40,16.57,0.978,36.9
3.32,0.0668866,95.3,72.4,113,74.5,5.78,3.93,482.575,2.40,16.57,0.978,36.9
3.36,0.0668866,95.3,72.4,113,74.5,5.78,3.94,482.575,2.40,16.57,0.978,36.9
3.42,0.0668866,95.3,72.4,113,74.5,5.78,3.96,482.575,2.40,16.57,0.978,36.9
3.46,0.0668866,95.3,72.4,113,74.5,5.78,3.97,482.575,2.40,16.57,0.978,36.9
3.52,0.0668866,95.3,72.4,113,74.5,5.78,3.99,482.575,2.40,16.57,0.978,36.9
3.56,0.0668866,95.3,72.4,113,74.5,5.78,3.99,482.575,2.40,16.57,0.978,36.9
3.62,0.0668866,95.3,72.4,113,74.5,5.78,3.96,482.575,2.40,16.57,0.978,36.9
3.66,0.0668866,95.3,72.4,113,74.5,5.78,3.94,482.575,2.40,16.57,0.978,36.9
3.72,0.0668866,95.3,72.4,113,74.5,5.78,3.92,482.575,2.39,16.57,0.978,36.9
3.76,0.0668866,95.3,72.4,113,74.5,5.78,3.90,482.575,2.39,16.57,0.978,36.9
3.82,0.0668866,95.3,72.4,113,74.5,5.78,3.88,482.575,2.39,16.57,0.978,36.9
3.86,0.0668866,95.3,72.4,113,74.5,5.78,3.88,482.575,2.39,16.57,0.978,36.9
3.92,0.0668866,95.3,72.4,113,74.5,5.78,3.87,482.575,2.39,16.57,0.978,36.9
3.96,0.0668866,95.3,72.4,113,74.5,5.78,3.87,482.575,2.39,16.57,0.978,36.9
4.02,0.0668866,95.3,72.4,113,74.5,5.78,3.88,482.575,2.39,16.57,0.978,36.9
4.06,0.0668592,95.3,72.4,113,74.5,5.78,3.89,482.575,2.39,16.57,0.978,36.9
4.12,0.0668592,95.3,72.4,113,74.5,5.78,3.91,482.575,2.39,16.57,0.978,36.9
4.16,0.0668592,95.3,72.4,113,74.5,5.78,3.92,482.575,2.39,16.57,0.978,36.9
4.22,0.0668592,95.3,72.4,113,74.5,5.78,3.94,482.575,2.39,16.57,0.978,36.9
4.26,0.0668592,95.3,72.4,113,74.5,5.78,3.96,482.575,2.39,16.57,0.978,36.9
4.32,0.0668592,95.3,72.4,113,74.5,5.78,3.97,482.575,2.39,16.57,0.978,36.9
4.36,0.0668592,95.3,72.4,113,74.5,5.78,3.99,482.575,2.39,16.57,0.978,36.9
4.42,0.0668592,95.3,72.4,113,74.5,5.78,3.98,482.575,2.39,16.57,0.978,36.9
4.46,0.0668592,95.3,72.4,113,74.5,5.78,3.96,482.575,2.39,16.57,0.978,36.9
4.52,0.0668592,95.3,72.4,113,74.5,5.78,3.93,482.575,2.39,16.57,0.978,36.9
