Time(s),CTSresistance,MeanArterialPressure(mmHg),HeartRate(1/min),SystolicArterialPressure(mmHg),DiastolicArterialPressure(mmHg),CardiacOutput(L/min),CentralVenousPressure(mmHg),TidalVolume(mL),TotalLungVolume(L),RespirationRate(1/min),OxygenSaturation,CoreTemperature(degC)
0.06,0.0533204,75.9,93,90,59.8,6.82,3.10,621.141,2.78,13.76,0.980,36.9
0.12,0.0533204,75.9,93,90,59.8,6.82,3.12,621.141,2.78,13.76,0.980,36.9
0.16,0.0533204,75.9,93,90,59.8,6.82,3.13,621.141,2.78,13.76,0.980,36.9
0.22,0.0533204,75.9,93,90,59.8,6.82,3.12,621.141,2.78,13.76,0.980,36.9
0.26,0.0533204,75.9,93,90,59.8,6.82,3.10,621.141,2.78,13.76,0.980,36.9
0.32,0.0533204,75.9,93,90,59.8,6.82,3.08,621.141,2.78,13.76,0.980,36.9
0.36,0.0533204,75.9,93,90,59.8,6.82,3.07,621.141,2.78,13.76,0.980,36.9
0.42,0.0533204,75.9,93,90,59.8,6.82,3.06,621.141,2.78,13.76,0.980,36.9
0.46,0.0533204,75.9,93,90,59.8,6.82,3.06,621.141,2.78,13.76,0.980,36.9
0.52,0.0533204,75.9,93,90,59.8,6.82,3.06,621.141,2.78,13.76,0.980,36.9
0.56,0.0533204,75.9,93,90,59.8,6.82,3.07,621.141,2.78,13.76,0.980,36.9
0.62,0.0533121,75.9,93,90,59.8,6.82,3.08,621.141,2.78,13.76,0.980,36.9
0.66,0.0533121,75.9,93,90,59.8,6.82,3.09,621.141,2.78,13.76,0.980,36.9
0.72,0.0533121,75.9,93,90,59.8,6.82,3.10,621.141,2.78,13.76,0.980,36.9
0.76,0.0533121,75.9,93,90,59.8,6.82,3.11,621.141,2.78,13.76,0.980,36.9
0.82,0.0533121,75.9,93,90,59.8,6.82,3.13,621.141,2.78,13.76,0.980,36.9
0.86,0.0533121,75.9,93,90,59.8,6.82,3.12,621.141,2.78,13.76,0.980,36.9
0.92,0.0533121,75.9,93,90,59.8,6.82,3.10,621.141,2.78,13.76,0.980,36.9
0.96,0.0533121,75.9,93,90,59.8,6.82,3.09,621.141,2.78,13.76,0.980,36.9
1.02,0.0533121,75.9,93,90,59.8,6.82,3.07,621.141,2.78,13.76,0.980,36.9
1.06,0.0533121,75.9,93,90,59.8,6.82,3.07,621.141,2.78,13.76,0.980,36.9
1.12,0.0533121,75.9,93,90,59.8,6.82,3.06,621.141,2.78,13.76,0.980,36.9
1.16,0.0533121,75.9,93,90,59.8,6.82,3.06,621.141,2.78,13.76,0.980,36.9
1.22,0.0533121,75.9,93.3,90,59.8,6.84,3.07,621.141,2.78,13.76,0.980,36.9
1.26,0.0532968,75.9,93.3,90,59.8,6.84,3.08,621.141,2.78,13.76,0.980,36.9
1.32,0.0532968,75.9,93.3,90,59.8,6.84,3.09,621.141,2.78,13.76,0.980,36.9
1.36,0.0532968,75.9,93.3,90,59.8,6.84,3.10,621.141,2.78,13.76,0.980,36.9
1.42,0.0532968,75.9,93.3,90,59.8,6.84,3.11,621.141,2.78,13.76,0.980,36.9
1.46,0.0532968,75.9,93.3,90,59.8,6.84,3.12,621.141,2.78,13.76,0.980,36.9
1.52,0.0532968,75.9,93.3,90,59.8,6.84,3.12,621.141,2.78,13.76,0.980,36.9
1.56,0.0532968,75.9,93.3,90,59.8,6.84,3.11,621.141,2.78,13.76,0.980,36.9
1.62,0.0532968,75.9,93.3,90,59.8,6.84,3.09,621.141,2.78,13.76,0.980,36.9
1.66,0.0532968,75.9,93.3,90,59.8,6.84,3.08,621.141,2.78,13.76,0.980,36.9
1.72,0.0532968,75.9,93.3,90,59.8,6.84,3.07,621.141,2.78,13.76,0.980,36.9
1.76,0.0532968,75.9,93.3,90,59.8,6.84,3.06,621.141,2.78,13.76,0.980,36.9
1.82,0.0532968,75.9,93.3,90,59.8,6.84,3.06,621.157,2.78,13.76,0.980,36.9
1.86,0.0532968,75.9,93.3,90,59.8,6.84,3.07,621.157,2.79,13.76,0.980,36.9
1.92,0.0532974,75.9,93.3,90,59.8,6.84,3.08,621.157,2.82,13.76,0.980,36.9
1.96,0.0532974,75.9,93.3,90,59.8,6.84,3.09,621.157,2.84,13.76,0.980,36.9
2.02,0.0532974,75.9,93.3,90,59.8,6.84,3.10,621.157,2.87,13.76,0.980,36.9
2.06,0.0532974,75.9,93.3,90,59.8,6.84,3.11,621.157,2.89,13.76,0.980,36.9
2.12,0.0532974,75.9,93.3,90,59.8,6.84,3.12,621.157,2.92,13.76,0.980,36.9
2.16,0.0532974,75.9,93.3,90,59.8,6.84,3.13,621.157,2.95,13.76,0.980,36.9
2.22,0.0532974,75.9,93.3,90,59.8,6.84,3.11,621.157,2.98,13.76,0.980,36.9
2.26,0.0532974,75.9,93.3,90,59.8,6.84,3.09,621.157,3.00,13.76,0.980,36.9
2.32,0.0532974,75.9,93.3,90,59.8,6.84,3.08,621.157,3.04,13.76,0.980,36.9
2.36,0.0532974,75.9,93.3,90,59.8,6.84,3.07,621.157,3.06,13.76,0.980,36.9
2.42,0.0532974,75.9,93.3,90,59.8,6.84,3.06,621.157,3.09,13.76,0.980,36.9
2.46,0.0532974,75.9,93.3,90,59.8,6.84,3.06,621.157,3.11,13.76,0.980,36.9
2.52,0.0532974,75.9,93.3,90,59.8,6.84,3.07,621.157,3.14,13.76,0.980,36.9
2.56,0.0533021,75.9,93.3,90,59.8,6.84,3.07,621.157,3.16,13.76,0.980,36.9
2.62,0.0533021,75.9,93.3,90,59.8,6.84,3.09,621.157,3.19,13.76,0.980,36.9
2.66,0.0533021,75.9,93.3,90,59.8,6.84,3.10,621.157,3.21,13.76,0.980,36.9
2.72,0.0533021,75.9,93.3,90,59.8,6.84,3.11,621.157,3.23,13.76,0.980,36.9
2.76,0.0533021,75.9,93.3,90,59.8,6.84,3.12,621.157,3.25,13.76,0.980,36.9
2.82,0.0533021,75.9,93.3,90,59.8,6.84,3.13,621.157,3.27,13.76,0.980,36.9
2.86,0.0533021,75.9,93.3,90,59.8,6.84,3.12,621.157,3.29,13.76,0.980,36.9
2.92,0.0533021,75.9,93.3,90,59.8,6.84,3.09,621.157,3.31,13.76,0.980,36.9
2.96,0.0533021,75.9,93.3,90,59.8,6.84,3.08,621.157,3.33,13.76,0.980,36.9
3.02,0.0533021,75.9,93.3,90,59.8,6.84,3.07,621.157,3.35,13.76,0.980,36.9
3.06,0.0533021,75.9,93.3,90,59.8,6.84,3.06,621.157,3.36,13.76,0.980,36.9
3.12,0.0533021,75.9,93.3,90,59.8,6.84,3.06,621.157,3.38,13.76,0.980,36.9
3.16,0.0533021,75.9,93.3,90,59.8,6.84,3.06,621.157,3.39,13.76,0.980,36.9
3.22,0.0533071,75.9,93.3,90,59.8,6.84,3.07,621.157,3.41,13.76,0.980,36.9
3.26,0.0533071,75.9,93.3,90,59.8,6.84,3.08,621.157,3.39,13.76,0.980,36.9
3.32,0.0533071,75.9,93.3,90,59.8,6.84,3.09,621.157,3.32,13.76,0.980,36.9
3.36,0.0533071,75.9,93.3,90,59.8,6.84,3.10,621.157,3.27,13.76,0.980,36.9
