Time(s),CTSresistance,MeanArterialPressure(mmHg),HeartRate(1/min),SystolicArterialPressure(mmHg),DiastolicArterialPressure(mmHg),CardiacOutput(L/min),CentralVenousPressure(mmHg),TidalVolume(mL),TotalLungVolume(L),RespirationRate(1/min),OxygenSaturation,CoreTemperature(degC)
0.06,0.0403078,95.6,109,115,74.3,8.79,3.90,440.397,2.98,19.11,0.980,36.9
0.12,0.0403078,95.6,109,115,74.3,8.79,3.92,440.397,3.00,19.11,0.980,36.9
0.16,0.0403078,95.6,109,115,74.3,8.79,3.94,440.397,3.01,19.11,0.980,36.9
0.22,0.0403078,95.6,109,115,74.3,8.79,3.97,440.397,3.03,19.11,0.980,36.9
0.26,0.0403078,95.6,109,115,74.3,8.79,3.98,440.397,3.04,19.11,0.980,36.9
0.32,0.0403078,95.6,109,115,74.3,8.79,3.97,440.397,3.02,19.11,0.980,36.9
0.36,0.0403078,95.6,109,115,74.3,8.79,3.95,440.397,2.99,19.11,0.980,36.9
0.42,0.0403078,95.6,109,115,74.3,8.79,3.92,440.397,2.93,19.11,0.980,36.9
0.46,0.0403078,95.6,109,115,74.3,8.79,3.90,440.397,2.89,19.11,0.980,36.9
0.52,0.0403078,95.6,109,115,74.3,8.79,3.89,440.397,2.84,19.11,0.980,36.9
0.56,0.0403078,95.6,109,115,74.3,8.79,3.88,440.397,2.80,19.11,0.980,36.9
0.62,0.0403106,95.6,109,115,74.3,8.79,3.90,440.397,2.76,19.11,0.980,36.9
0.66,0.0403106,95.6,109,115,74.3,8.79,3.92,440.397,2.73,19.11,0.980,36.9
0.72,0.0403106,95.6,109,115,74.3,8.79,3.94,440.397,2.70,19.11,0.980,36.9
0.76,0.0403106,95.6,109,115,74.3,8.79,3.96,440.397,2.69,19.11,0.980,36.9
0.82,0.0403106,95.6,109,115,74.3,8.79,3.98,440.397,2.67,19.11,0.980,36.9
0.86,0.0403106,95.6,109,115,74.3,8.79,3.98,440.397,2.65,19.11,0.980,36.9
0.92,0.0403106,95.6,109,115,74.3,8.79,3.95,440.397,2.64,19.11,0.980,36.9
0.96,0.0403106,95.6,109,115,74.3,8.79,3.93,440.397,2.63,19.11,0.980,36.9
1.02,0.0403106,95.6,109,115,74.3,8.79,3.90,440.397,2.62,19.11,0.980,36.9
1.06,0.0403106,95.6,109,115,74.3,8.79,3.89,440.397,2.62,19.11,0.980,36.9
1.12,0.0403106,95.6,109,115,74.3,8.79,3.88,440.397,2.61,19.11,0.980,36.9
1.16,0.0403106,95.6,109.4,115,74.4,8.82,3.89,440.397,2.61,19.11,0.980,36.9
1.22,0.0402979,95.6,109.4,115,74.4,8.82,3.92,440.397,2.61,19.11,0.980,36.9
1.26,0.0402979,95.6,109.4,115,74.4,8.82,3.93,440.397,2.60,19.11,0.980,36.9
1.32,0.0402979,95.6,109.4,115,74.4,8.82,3.96,440.397,2.60,19.11,0.980,36.9
1.36,0.0402979,95.6,109.4,115,74.4,8.82,3.97,440.397,2.60,19.11,0.980,36.9
1.42,0.0402979,95.6,109.4,115,74.4,8.82,3.98,440.397,2.60,19.11,0.980,36.9
1.46,0.0402979,95.6,109.4,115,74.4,8.82,3.96,440.397,2.60,19.11,0.980,36.9
1.52,0.0402979,95.6,109.4,115,74.4,8.82,3.93,440.397,2.60,19.11,0.980,36.9
