Time(s),CTSresistance,MeanArterialPressure(mmHg),HeartRate(1/min),SystolicArterialPressure(mmHg),DiastolicArterialPressure(mmHg),CardiacOutput(L/min),CentralVenousPressure(mmHg),TidalVolume(mL),TotalLungVolume(L),RespirationRate(1/min),OxygenSaturation,CoreTemperature(degC)
0.06,0.0706798,94.8,72,114,73.3,5.62,3.86,403.557,2.17,18.63,0.980,36.8
0.12,0.0706798,94.8,72,114,73.3,5.62,3.83,403.557,2.19,18.63,0.980,36.8
0.16,0.0706798,94.8,72,114,73.3,5.62,3.82,403.557,2.21,18.63,0.980,36.8
0.22,0.0706798,94.8,72,114,73.3,5.62,3.80,403.557,2.24,18.63,0.980,36.8
0.26,0.0706798,94.8,72,114,73.3,5.62,3.80,403.557,2.25,18.63,0.980,36.8
0.32,0.0706798,95.4,73.8,114,74.4,5.76,3.81,403.557,2.28,18.63,0.980,36.8
0.36,0.0702501,95.4,73.8,114,74.4,5.76,3.82,403.557,2.30,18.63,0.980,36.8
0.42,0.0702501,95.4,73.8,114,74.4,5.76,3.84,403.557,2.33,18.63,0.980,36.8
0.46,0.0702501,95.4,73.8,114,74.4,5.76,3.86,403.557,2.35,18.63,0.980,36.8
0.52,0.0702501,95.4,73.8,114,74.4,5.76,3.88,403.557,2.37,18.63,0.980,36.8
0.56,0.0702501,95.4,73.8,114,74.4,5.76,3.89,403.557,2.39,18.63,0.980,36.8
0.62,0.0702501,95.4,73.8,114,74.4,5.76,3.92,403.557,2.41,18.63,0.980,36.8
0.66,0.0702501,95.4,73.8,114,74.4,5.76,3.93,403.557,2.43,18.63,0.980,36.8
0.72,0.0702501,95.4,73.8,114,74.4,5.76,3.95,403.557,2.45,18.63,0.980,36.8
0.76,0.0702501,95.4,73.8,114,74.4,5.76,3.93,403.557,2.46,18.63,0.980,36.8
0.82,0.0702501,95.4,73.8,114,74.4,5.76,3.90,403.557,2.48,18.63,0.980,36.8
0.86,0.0702501,95.4,73.8,114,74.4,5.76,3.87,403.557,2.49,18.63,0.980,36.8
0.92,0.0702501,95.4,73.8,114,74.4,5.76,3.85,403.557,2.51,18.63,0.980,36.8
0.96,0.0702501,95.4,73.8,114,74.4,5.76,3.83,403.557,2.52,18.63,0.980,36.8
1.02,0.0702501,95.4,73.8,114,74.4,5.76,3.81,403.557,2.54,18.63,0.980,36.8
1.06,0.0702501,95.4,73.8,114,74.4,5.76,3.80,403.557,2.55,18.63,0.980,36.8
1.12,0.0702501,95.4,73.8,114,74.4,5.76,3.79,403.557,2.54,18.63,0.980,36.8
1.16,0.0702501,94.8,72.7,114,73.4,5.66,3.80,403.557,2.52,18.63,0.980,36.8
1.22,0.0706985,94.8,72.7,114,73.4,5.66,3.82,403.557,2.47,18.63,0.980,36.8
1.26,0.0706985,94.8,72.7,114,73.4,5.66,3.84,403.557,2.43,18.63,0.980,36.8
1.32,0.0706985,94.8,72.7,114,73.4,5.66,3.86,403.557,2.38,18.63,0.980,36.8
1.36,0.0706985,94.8,72.7,114,73.4,5.66,3.88,403.557,2.35,18.63,0.980,36.8
1.42,0.0706985,94.8,72.7,114,73.4,5.66,3.90,403.557,2.30,18.63,0.980,36.8
1.46,0.0706985,94.8,72.7,114,73.4,5.66,3.91,403.557,2.28,18.63,0.980,36.8
1.52,0.0706985,94.8,72.7,114,73.4,5.66,3.94,403.557,2.25,18.63,0.980,36.8
1.56,0.0706985,94.8,72.7,114,73.4,5.66,3.95,403.557,2.23,18.63,0.980,36.8
1.62,0.0706985,94.8,72.7,114,73.4,5.66,3.92,403.557,2.21,18.63,0.980,36.8
1.66,0.0706985,94.8,72.7,114,73.4,5.66,3.90,403.557,2.20,18.63,0.980,36.8
1.72,0.0706985,94.8,72.7,114,73.4,5.66,3.86,403.557,2.19,18.63,0.980,36.8
1.76,0.0706985,94.8,72.7,114,73.4,5.66,3.84,403.557,2.18,18.63,0.980,36.8
1.82,0.0706985,94.8,72.7,114,73.4,5.66,3.82,403.557,2.17,18.63,0.980,36.8
1.86,0.0706985,94.8,72.7,114,73.4,5.66,3.81,403.557,2.17,18.63,0.980,36.8
1.92,0.0706985,94.8,72.7,114,73.4,5.66,3.80,403.557,2.16,18.63,0.980,36.8
1.96,0.0706985,94.8,72.7,114,73.4,5.66,3.79,403.557,2.16,18.63,0.980,36.8
2.02,0.0706985,94.8,72.7,114,73.3,5.67,3.81,403.557,2.15,18.63,0.980,36.8
2.06,0.0707117,94.8,72.7,114,73.3,5.67,3.82,403.557,2.15,18.63,0.980,36.8
2.12,0.0707117,94.8,72.7,114,73.3,5.67,3.84,403.557,2.15,18.63,0.980,36.8
2.16,0.0707117,94.8,72.7,114,73.3,5.67,3.86,403.557,2.15,18.63,0.980,36.8
2.22,0.0707117,94.8,72.7,114,73.3,5.67,3.88,403.557,2.15,18.63,0.980,36.8
2.26,0.0707117,94.8,72.7,114,73.3,5.67,3.90,403.557,2.15,18.63,0.980,36.8
2.32,0.0707117,94.8,72.7,114,73.3,5.67,3.92,403.557,2.14,18.63,0.980,36.8
2.36,0.0707117,94.8,72.7,114,73.3,5.67,3.93,403.557,2.14,18.63,0.980,36.8
2.42,0.0707117,94.8,72.7,114,73.3,5.67,3.94,403.557,2.14,18.63,0.980,36.8
2.46,0.0707117,94.8,72.7,114,73.3,5.67,3.92,403.557,2.14,18.63,0.980,36.8
2.52,0.0707117,94.8,72.7,114,73.3,5.67,3.88,403.557,2.14,18.63,0.980,36.8
2.56,0.0707117,94.8,72.7,114,73.3,5.67,3.86,403.557,2.14,18.63,0.980,36.8
2.62,0.0707117,94.8,72.7,114,73.3,5.67,3.83,403.557,2.14,18.63,0.980,36.8
2.66,0.0707117,94.8,72.7,114,73.3,5.67,3.82,403.557,2.14,18.63,0.980,36.8
2.72,0.0707117,94.8,72.7,114,73.3,5.67,3.80,403.557,2.14,18.63,0.980,36.8
2.76,0.0707117,94.8,72.7,114,73.3,5.67,3.79,403.557,2.14,18.63,0.980,36.8
2.82,0.0707117,94.8,72.7,114,73.3,5.67,3.80,403.557,2.14,18.63,0.980,36.8
2.86,0.0707117,94.8,72.6,114,73.3,5.67,3.81,403.557,2.14,18.63,0.980,36.8
2.92,0.0706759,94.8,72.6,114,73.3,5.67,3.83,403.557,2.14,18.63,0.980,36.8
2.96,0.0706759,94.8,72.6,114,73.3,5.67,3.84,403.557,2.14,18.63,0.980,36.8
3.02,0.0706759,94.8,72.6,114,73.3,5.67,3.87,403.557,2.14,18.63,0.980,36.8
3.06,0.0706759,94.8,72.6,114,73.3,5.67,3.88,403.557,2.14,18.63,0.980,36.8
3.12,0.0706759,94.8,72.6,114,73.3,5.67,3.90,403.557,2.14,18.63,0.980,36.8
3.16,0.0706759,94.8,72.6,114,73.3,5.67,3.92,403.557,2.14,18.63,0.980,36.8
3.22,0.0706759,94.8,72.6,114,73.3,5.67,3.94,403.598,2.15,18.63,0.980,36.8
3.26,0.0706759,94.8,72.6,114,73.3,5.67,3.94,403.598,2.16,18.63,0.980,36.8
3.32,0.0706759,94.8,72.6,114,73.3,5.67,3.91,403.598,2.18,18.63,0.980,36.8
3.36,0.0706759,94.8,72.6,114,73.3,5.67,3.88,403.598,2.20,18.63,0.980,36.8
3.42,0.0706759,94.8,72.6,114,73.3,5.67,3.85,403.598,2.23,18.63,0.980,36.8
3.46,0.0706759,94.8,72.6,114,73.3,5.67,3.83,403.598,2.25,18.63,0.980,36.8
3.52,0.0706759,94.8,72.6,114,73.3,5.67,3.81,403.598,2.27,18.63,0.980,36.8
