Time(s),CTSresistance,MeanArterialPressure(mmHg),HeartRate(1/min),SystolicArterialPressure(mmHg),DiastolicArterialPressure(mmHg),CardiacOutput(L/min),CentralVenousPressure(mmHg),TidalVolume(mL),TotalLungVolume(L),RespirationRate(1/min),OxygenSaturation,CoreTemperature(degC)
0.06,0.0543961,95.5,84,114,74.4,6.76,3.94,531.320,2.80,16.22,0.979,36.9
0.12,0.0543961,95.5,84,114,74.4,6.76,3.92,531.320,2.84,16.22,0.979,36.9
0.16,0.0543961,95.5,84,114,74.4,6.76,3.91,531.320,2.86,16.22,0.979,36.9
0.22,0.0543961,95.5,84,114,74.4,6.76,3.90,531.320,2.89,16.22,0.979,36.9
0.26,0.0543961,95.5,84,114,74.4,6.76,3.91,531.320,2.91,16.22,0.979,36.9
0.32,0.0544002,95.5,84,114,74.4,6.76,3.93,531.320,2.94,16.22,0.979,36.9
0.36,0.0544002,95.5,84,114,74.4,6.76,3.94,531.320,2.95,16.22,0.979,36.9
0.42,0.0544002,95.5,84,114,74.4,6.76,3.96,531.320,2.98,16.22,0.979,36.9
0.46,0.0544002,95.5,84,114,74.4,6.76,3.97,531.320,3.00,16.22,0.979,36.9
0.52,0.0544002,95.5,84,114,74.4,6.76,3.99,531.320,3.02,16.22,0.979,36.9
0.56,0.0544002,95.5,84,114,74.4,6.76,4.00,531.320,3.04,16.22,0.979,36.9
0.62,0.0544002,95.5,84,114,74.4,6.76,4.00,531.320,3.06,16.22,0.979,36.9
0.66,0.0544002,95.5,84,114,74.4,6.76,3.99,531.320,3.07,16.22,0.979,36.9
0.72,0.0544002,95.5,84,114,74.4,6.76,3.96,531.320,3.09,16.22,0.979,36.9
0.76,0.0544002,95.5,84,114,74.4,6.76,3.94,531.320,3.10,16.22,0.979,36.9
0.82,0.0544002,95.5,84,114,74.4,6.76,3.92,531.320,3.12,16.22,0.979,36.9
0.86,0.0544002,95.5,84,114,74.4,6.76,3.91,531.320,3.13,16.22,0.979,36.9
0.92,0.0544002,95.5,84,114,74.4,6.76,3.90,531.320,3.12,16.22,0.979,36.9
0.96,0.0544002,95.5,84,114,74.4,6.76,3.91,531.320,3.08,16.22,0.979,36.9
1.02,0.0544003,95.5,84.4,115,74.4,6.79,3.92,531.320,3.02,16.22,0.979,36.9
1.06,0.0544003,95.5,84.4,115,74.4,6.79,3.93,531.320,2.97,16.22,0.979,36.9
1.12,0.0544003,95.5,84.4,115,74.4,6.79,3.95,531.320,2.90,16.22,0.979,36.9
1.16,0.0544003,95.5,84.4,115,74.4,6.79,3.96,531.320,2.86,16.22,0.979,36.9
1.22,0.0544003,95.5,84.4,115,74.4,6.79,3.98,531.320,2.81,16.22,0.979,36.9
1.26,0.0544003,95.5,84.4,115,74.4,6.79,3.99,531.320,2.77,16.22,0.979,36.9
1.32,0.0544003,95.5,84.4,115,74.4,6.79,4.01,531.320,2.73,16.22,0.979,36.9
1.36,0.0544003,95.5,84.4,115,74.4,6.79,3.99,531.320,2.71,16.22,0.979,36.9
1.42,0.0544003,95.5,84.4,115,74.4,6.79,3.96,531.320,2.69,16.22,0.979,36.9
1.46,0.0544003,95.5,84.4,115,74.4,6.79,3.95,531.320,2.67,16.22,0.979,36.9
1.52,0.0544003,95.5,84.4,115,74.4,6.79,3.93,531.320,2.65,16.22,0.979,36.9
1.56,0.0544003,95.5,84.4,115,74.4,6.79,3.92,531.320,2.64,16.22,0.979,36.9
1.62,0.0544003,95.5,84.4,115,74.4,6.79,3.90,531.320,2.63,16.22,0.979,36.9
1.66,0.0544003,95.5,84.4,115,74.4,6.79,3.90,531.320,2.63,16.22,0.979,36.9
1.72,0.0544003,95.5,84.4,115,74.4,6.79,3.91,531.320,2.62,16.22,0.979,36.9
1.76,0.0544029,95.5,84.4,115,74.4,6.79,3.93,531.320,2.61,16.22,0.979,36.9
1.82,0.0544029,95.5,84.4,115,74.4,6.79,3.94,531.320,2.61,16.22,0.979,36.9
1.86,0.0544029,95.5,84.4,115,74.4,6.79,3.96,531.320,2.61,16.22,0.979,36.9
1.92,0.0544029,95.5,84.4,115,74.4,6.79,3.97,531.320,2.60,16.22,0.979,36.9
1.96,0.0544029,95.5,84.4,115,74.4,6.79,3.99,531.320,2.60,16.22,0.979,36.9
2.02,0.0544029,95.5,84.4,115,74.4,6.79,4.01,531.320,2.60,16.22,0.979,36.9
2.06,0.0544029,95.5,84.4,115,74.4,6.79,4.00,531.320,2.60,16.22,0.979,36.9
2.12,0.0544029,95.5,84.4,115,74.4,6.79,3.97,531.320,2.60,16.22,0.979,36.9
