Time(s),CTSresistance,MeanArterialPressure(mmHg),HeartRate(1/min),SystolicArterialPressure(mmHg),DiastolicArterialPressure(mmHg),CardiacOutput(L/min),CentralVenousPressure(mmHg),TidalVolume(mL),TotalLungVolume(L),RespirationRate(1/min),OxygenSaturation,CoreTemperature(degC)
0.06,0.0665304,95.9,72,115,74.5,5.78,3.96,515.196,2.63,15.96,0.979,36.9
0.12,0.0665304,95.9,72,115,74.5,5.78,3.97,515.196,2.65,15.96,0.979,36.9
0.16,0.0665304,95.9,72,115,74.5,5.78,3.98,515.196,2.67,15.96,0.979,36.9
0.22,0.0665304,95.9,72,115,74.5,5.78,4.00,515.196,2.70,15.96,0.979,36.9
0.26,0.0665304,95.9,72,115,74.5,5.78,3.99,515.196,2.72,15.96,0.979,36.9
0.32,0.0665304,95.9,72,115,74.5,5.78,3.97,515.196,2.75,15.96,0.979,36.9
0.36,0.0665304,95.9,72,115,74.5,5.78,3.95,515.196,2.78,15.96,0.979,36.9
0.42,0.0665304,95.9,72,115,74.5,5.78,3.93,515.196,2.81,15.96,0.979,36.9
0.46,0.0665304,95.9,72,115,74.5,5.78,3.92,515.196,2.83,15.96,0.979,36.9
0.52,0.0665304,95.9,72,115,74.5,5.78,3.90,515.196,2.86,15.96,0.979,36.9
0.56,0.0665304,95.9,72,115,74.5,5.78,3.90,515.196,2.88,15.96,0.979,36.9
0.62,0.0665304,95.9,72,115,74.5,5.78,3.89,515.196,2.91,15.96,0.979,36.9
0.66,0.0665304,95.9,72,115,74.5,5.78,3.90,515.196,2.92,15.96,0.979,36.9
0.72,0.0665353,95.9,72,115,74.5,5.78,3.91,515.196,2.95,15.96,0.979,36.9
0.76,0.0665353,95.9,72,115,74.5,5.78,3.92,515.196,2.97,15.96,0.979,36.9
0.82,0.0665353,95.9,72,115,74.5,5.78,3.94,515.196,2.99,15.96,0.979,36.9
0.86,0.0665353,95.9,72,115,74.5,5.78,3.95,515.196,3.01,15.96,0.979,36.9
0.92,0.0665353,95.9,72,115,74.5,5.78,3.96,515.196,3.03,15.96,0.979,36.9
0.96,0.0665353,95.9,72,115,74.5,5.78,3.97,515.196,3.04,15.96,0.979,36.9
1.02,0.0665353,95.9,72,115,74.5,5.78,3.99,515.196,3.06,15.96,0.979,36.9
1.06,0.0665353,95.9,72,115,74.5,5.78,4.00,515.196,3.08,15.96,0.979,36.9
1.12,0.0665353,95.9,72,115,74.5,5.78,3.98,515.196,3.09,15.96,0.979,36.9
1.16,0.0665353,95.9,72,115,74.5,5.78,3.96,515.196,3.10,15.96,0.979,36.9
1.22,0.0665353,95.9,72,115,74.5,5.78,3.94,515.196,3.12,15.96,0.979,36.9
1.26,0.0665353,95.9,72,115,74.5,5.78,3.93,515.196,3.10,15.96,0.979,36.9
1.32,0.0665353,95.9,72,115,74.5,5.78,3.91,515.196,3.05,15.96,0.979,36.9
1.36,0.0665353,95.9,72,115,74.5,5.78,3.90,515.196,3.01,15.96,0.979,36.9
1.42,0.0665353,95.9,72,115,74.5,5.78,3.89,515.196,2.94,15.96,0.979,36.9
1.46,0.0665353,95.9,72,115,74.5,5.78,3.89,515.196,2.89,15.96,0.979,36.9
1.52,0.0665353,95.9,72.4,115,74.5,5.81,3.90,515.196,2.83,15.96,0.979,36.9
1.56,0.0665515,95.9,72.4,115,74.5,5.81,3.91,515.196,2.80,15.96,0.979,36.9
1.62,0.0665515,95.9,72.4,115,74.5,5.81,3.92,515.196,2.76,15.96,0.979,36.9
1.66,0.0665515,95.9,72.4,115,74.5,5.81,3.93,515.196,2.73,15.96,0.979,36.9
1.72,0.0665515,95.9,72.4,115,74.5,5.81,3.95,515.196,2.70,15.96,0.979,36.9
1.76,0.0665515,95.9,72.4,115,74.5,5.81,3.96,515.196,2.68,15.96,0.979,36.9
1.82,0.0665515,95.9,72.4,115,74.5,5.81,3.98,515.196,2.66,15.96,0.979,36.9
1.86,0.0665515,95.9,72.4,115,74.5,5.81,3.99,515.196,2.65,15.96,0.979,36.9
1.92,0.0665515,95.9,72.4,115,74.5,5.81,3.99,515.196,2.64,15.96,0.979,36.9
1.96,0.0665515,95.9,72.4,115,74.5,5.81,3.98,515.196,2.63,15.96,0.979,36.9
2.02,0.0665515,95.9,72.4,115,74.5,5.81,3.95,515.196,2.62,15.96,0.979,36.9
2.06,0.0665515,95.9,72.4,115,74.5,5.81,3.94,515.196,2.62,15.96,0.979,36.9
2.12,0.0665515,95.9,72.4,115,74.5,5.81,3.92,515.196,2.61,15.96,0.979,36.9
2.16,0.0665515,95.9,72.4,115,74.5,5.81,3.91,515.196,2.61,15.96,0.979,36.9
2.22,0.0665515,95.9,72.4,115,74.5,5.81,3.90,515.196,2.61,15.96,0.979,36.9
